J,idle_infid_CD,idle_infid_DD
1.000000000000000056e-01,3.036304606629514069e-07,2.765999396192597715e-07
3.518987341772151778e-01,4.536295691970337884e-06,3.685816563181454342e-06
6.037974683544302668e-01,1.818202108971878062e-05,1.089372250495657113e-05
8.556962025316453557e-01,5.128549991806341524e-05,2.191470172774323544e-05
1.107594936708860667e+00,1.190908817758629112e-04,3.684419880300993100e-05
1.359493670886075867e+00,2.419215391525897374e-04,5.569678477435058284e-05
1.611392405063290845e+00,4.450174454672106705e-04,7.860739695675356131e-05
1.863291139240506267e+00,7.583294965872733329e-04,1.056760372596388109e-04
2.115189873417721245e+00,1.216270081900838740e-03,1.370051484218537396e-04
2.367088607594936001e+00,1.857419268685878144e-03,1.727626688486916251e-04
2.618987341772151645e+00,2.724186162842867631e-03,2.130940189228880399e-04
2.870886075949366401e+00,3.862425208767117368e-03,2.581916561471553351e-04
3.122784810126581601e+00,5.321007654947140786e-03,3.082740136933770358e-04
3.374683544303796801e+00,7.151348901134890745e-03,3.635683275678980308e-04
3.626582278481012445e+00,9.406893005797334339e-03,4.242539713431581205e-04
3.878481012658227645e+00,1.214255635199223970e-02,4.908171875033229270e-04
4.130379746835441956e+00,1.541413335348551517e-02,5.633639412566671112e-04
4.382278481012656712e+00,1.927766771286065772e-02,6.422926760732972085e-04
4.634177215189872356e+00,2.378879383926235658e-02,7.280531623928832019e-04
4.886075949367087112e+00,2.900205398913635602e-02,8.209211112613079564e-04
5.137974683544302756e+00,3.497019735831685683e-02,9.213695323405657334e-04
5.389873417721517512e+00,4.174346848653720521e-02,1.029892470783666525e-03
5.641772151898734045e+00,4.936889291071111519e-02,1.146962050510347275e-03
5.893670886075947912e+00,5.788956907228870463e-02,1.273118492637226318e-03
6.145569620253162668e+00,6.734397581396189825e-02,1.408959856376235109e-03
6.397468354430378312e+00,7.776530518719704244e-02,1.555090915994261636e-03
6.649367088607592180e+00,8.918083109925822871e-02,1.712219236478795814e-03
6.901265822784809600e+00,1.016113237311455642e-01,1.880988110616876874e-03
7.153164556962023468e+00,1.150705202798735227e-01,2.062199846872947440e-03
7.405063291139240000e+00,1.295646617587727922e-01,2.256647092607533267e-03
7.656962025316453868e+00,1.450921052702378589e-01,2.465212404404337754e-03
7.908860759493668624e+00,1.616430206918584300e-01,2.688800823594017508e-03
8.160759493670884268e+00,1.791991790819080776e-01,2.928417034591679347e-03
8.412658227848099912e+00,1.977338398102049810e-01,3.185077960728976976e-03
8.664556962025313780e+00,2.172117413669815145e-01,3.459892152273824628e-03
8.916455696202529424e+00,2.375891998335920574e-01,3.754038094126888048e-03
9.168354430379745068e+00,2.588143168041149300e-01,4.068761396065601055e-03
