t,idle_infid_CD,idle_infid_DD
2.062500000000000000e+01,3.160463521862377778e-02,8.653501081407055651e-04
4.062500000000000000e+01,1.124611559415514828e-01,1.228234446839393534e-03
6.062500000000000000e+01,2.301305474467163492e-01,1.833319693106405524e-03
8.062500000000000000e+01,3.668232655473915305e-01,2.680154033287251991e-03
1.006250000000000000e+02,5.043939652594747747e-01,3.768152718889528074e-03
1.206250000000000000e+02,6.281442898406086606e-01,5.096417265876951319e-03
1.406250000000000000e+02,7.291176382668176359e-01,6.663840598652437386e-03
1.606250000000000000e+02,8.044545152281094014e-01,8.469406418674441106e-03
1.806250000000000000e+02,8.560934976616267900e-01,1.051166030657879613e-02
2.006250000000000000e+02,8.886178408721434607e-01,1.278889100511204635e-02
2.206250000000000000e+02,9.071803997674264819e-01,1.529943853417692345e-02
2.406250000000000000e+02,9.161858999014401705e-01,1.804144336495716594e-02
2.606250000000000000e+02,9.189301398682201416e-01,2.101263978251000086e-02
2.806250000000000000e+02,9.179304936855358088e-01,2.421084032562681454e-02
3.006250000000000000e+02,9.154360766176798947e-01,2.763386781971111095e-02
3.206250000000000000e+02,9.136589290051302381e-01,3.127832471765801259e-02
3.406250000000000000e+02,9.145489257836478814e-01,3.514266628315787511e-02
3.606250000000000000e+02,9.192712447911252083e-01,3.922291895715857013e-02
3.806250000000000000e+02,9.277528097357776726e-01,4.351635848373602844e-02
4.006250000000000000e+02,9.386416442312415231e-01,4.801964646088840993e-02
