J,X2_infid_CD,X2_infid_DD
1.000000000000000056e-01,3.284886980547963020e-05,1.439977122841273882e-05
3.518987341772151778e-01,4.070455166625963628e-04,1.783789464082641274e-04
6.037974683544302668e-01,1.198474346780109556e-03,5.250887861112385480e-04
8.556962025316453557e-01,2.407315414093891270e-03,1.054319741889964135e-03
1.107594936708860667e+00,4.033839965303043229e-03,1.765692847448319114e-03
1.359493670886075867e+00,6.078372028941347871e-03,2.658853545372097393e-03
1.611392405063290845e+00,8.541300704281606926e-03,3.733217854406167824e-03
1.863291139240506267e+00,1.142303135899380706e-02,4.988151033571863735e-03
2.115189873417721245e+00,1.472397256305668645e-02,6.422883995533590351e-03
2.367088607594936001e+00,1.844449761443567315e-02,8.036522025453129991e-03
2.618987341772151645e+00,2.258491774010973341e-02,9.828124075487276734e-03
2.870886075949366401e+00,2.714542621218385410e-02,1.179657888026286461e-02
3.122784810126581601e+00,3.212609704012370226e-02,1.394070006117476002e-02
3.374683544303796801e+00,3.752677035499696334e-02,1.625919269394049405e-02
3.626582278481012445e+00,4.334707506496782159e-02,1.875063211996907953e-02
3.878481012658227645e+00,4.958634446439824650e-02,2.141352706935650829e-02
4.130379746835441956e+00,5.624357034882732087e-02,2.424625845476047203e-02
4.382278481012656712e+00,6.331735888842249249e-02,2.724709302623040674e-02
4.634177215189872356e+00,7.080587533659254973e-02,3.041426087446896798e-02
4.886075949367087112e+00,7.870678847930090427e-02,3.374578815958795275e-02
5.137974683544302756e+00,8.701723042920261886e-02,3.723971832675332383e-02
5.389873417721517512e+00,9.573373782468830306e-02,4.089390842810525228e-02
5.641772151898734045e+00,1.048522098783287726e-01,4.470614735725952915e-02
5.893670886075947912e+00,1.143678614610353916e-01,4.867417203419210914e-02
6.145569620253162668e+00,1.242751797807510883e-01,5.279556702047649708e-02
6.397468354430378312e+00,1.345678871330822091e-01,5.706787745242691834e-02
6.649367088607592180e+00,1.452389022995531631e-01,6.148851439447344802e-02
6.901265822784809600e+00,1.562803248133503020e-01,6.605485373363462198e-02
7.153164556962023468e+00,1.676833777359542088e-01,7.076415458002227599e-02
7.405063291139240000e+00,1.794384185652815322e-01,7.561359154802738125e-02
