t,X1_infid_CD,X1_infid_DD
2.062500000000000000e+01,8.241474900827805428e-02,3.530597206429386681e-02
6.062500000000000000e+01,1.232117605966536189e-01,3.605002839500703882e-02
1.006250000000000000e+02,1.991097394528775766e-01,3.753679096634676693e-02
1.406250000000000000e+02,3.007407905305334861e-01,3.976263302265914401e-02
1.806250000000000000e+02,4.164194696830919584e-01,4.272224171869620779e-02
2.206250000000000000e+02,5.342597015980063979e-01,4.640852336339706952e-02
2.606250000000000000e+02,6.440903257694972073e-01,5.081283305749328960e-02
3.006250000000000000e+02,7.387626976290353475e-01,5.592454596197693473e-02
3.406250000000000000e+02,8.146479045859686963e-01,6.173153747123583113e-02
3.806250000000000000e+02,8.713567798761445715e-01,6.822013580920160969e-02
4.206250000000000000e+02,9.109068360290932809e-01,7.537499441283834756e-02
