t,idle_infid_CD,idle_infid_decoh,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
2.000000000000000000e+01,2.025670151033054367e-03,4.798200496255455860e-04,4.798450089918415706e-04,4.798243930917434064e-04,4.798215138875905339e-04
4.000000000000000000e+01,7.122861358417664768e-03,9.592803966640417457e-04,9.593801441155069831e-04,9.592977588101514463e-04,9.592862517372457987e-04
6.000000000000000000e+01,1.523974639068581549e-02,1.438381338185523717e-03,1.438605587888386328e-03,1.438420374258786438e-03,1.438394504029216758e-03
8.000000000000000000e+01,2.629565953999379868e-02,1.917123171122248060e-03,1.917521518112863532e-03,1.917192515661747532e-03,1.917146560967142310e-03
1.000000000000000000e+02,4.018219078089280138e-02,2.395506192384155852e-03,2.396128112528206344e-03,2.395614459045847244e-03,2.395542712468834434e-03
1.200000000000000000e+02,5.676463895108485591e-02,2.873530698512594128e-03,2.874425548933079444e-03,2.873686480218240469e-03,2.873583247482269787e-03
1.400000000000000000e+02,7.588380194782506916e-02,3.351196985071469570e-03,3.352414004882398046e-03,3.351408854709081453e-03,3.351268455465850060e-03
1.600000000000000000e+02,9.735807702458032509e-02,3.828505348192789981e-03,3.830093657968491883e-03,3.828781857814766987e-03,3.828598625419621371e-03
1.800000000000000000e+02,1.209858397838516897e-01,4.305456084044201326e-03,4.307464685719131214e-03,4.305805764653669598e-03,4.305574046033322499e-03
2.000000000000000000e+02,1.465480664609379868e-01,4.782049488194495268e-03,4.784527265504212590e-03,4.782480850149095630e-03,4.782195005783140829e-03
2.200000000000000000e+02,1.738111606393530906e-01,5.258285855274325016e-03,5.261281574783449599e-03,5.258807388932862370e-03,5.258461792912172417e-03
2.400000000000000000e+02,2.025299426837756656e-01,5.734165480140496207e-03,5.737727790783131443e-03,5.734785655444274433e-03,5.734374695369748309e-03
2.600000000000000000e+02,2.324507579604686569e-01,6.209688657394574207e-03,6.213866090804098796e-03,6.210415923864509580e-03,6.209934000237449236e-03
2.800000000000000000e+02,2.633146583747342229e-01,6.684855681377777081e-03,6.689696651991094978e-03,6.685698468163803199e-03,6.685139996319200417e-03
3.000000000000000000e+02,2.948606109067630765e-01,7.159666846172085819e-03,7.165219651391496747e-03,7.160633562134921526e-03,7.159992970223738595e-03
3.200000000000000000e+02,3.268286866848224559e-01,7.634122445608015894e-03,7.640435266162926009e-03,7.635221479322384930e-03,7.634493208924675312e-03
3.400000000000000000e+02,3.589631847001912845e-01,8.108222773257622862e-03,8.115343673279262759e-03,8.109462493007146833e-03,8.108640999184235643e-03
3.600000000000000000e+02,3.910156455245562546e-01,8.581968122430949641e-03,8.589945049638114671e-03,8.583356876297631999e-03,8.582436627500189541e-03
3.800000000000000000e+02,4.227477123244532953e-01,9.055358786178802077e-03,9.064239571938415008e-03,9.056904902034812466e-03,9.055880380119729622e-03
4.000000000000000000e+02,4.539337990404740397e-01,9.528395057292859960e-03,9.538227417068834146e-03,9.530106842854990656e-03,9.528972543014990748e-03
