t,X1_infid_CD,X1_infid_decoh,X1_infid_N_4,X1_infid_N_6,X1_infid_N_8
2.000000000000000000e+01,2.634131531878769472e-02,4.796615280909799495e-04,5.181988928427694319e-04,4.870519366868553135e-04,4.819945261580471652e-04
6.000000000000000000e+01,3.527680177509995296e-02,1.438388800886869490e-03,1.489200170876836538e-03,1.447772972094085731e-03,1.441327931775759907e-03
1.000000000000000000e+02,5.200682243701559848e-02,2.395284068507530506e-03,2.471204144542937797e-03,2.409601148654849645e-03,2.399918116559596193e-03
1.400000000000000000e+02,7.615041820471690759e-02,3.352212771535634239e-03,3.464068769452155472e-03,3.372226750411377871e-03,3.357798090538488545e-03
1.800000000000000000e+02,1.071665874177274436e-01,4.301353852945055678e-03,4.467816243375111185e-03,4.335577207568497293e-03,4.314895366185012016e-03
2.200000000000000000e+02,1.443698789187262133e-01,5.258755729056874273e-03,5.482398701601498558e-03,5.299765084322616282e-03,5.271449874637235133e-03
2.600000000000000000e+02,1.869468439747372646e-01,6.213907360377746159e-03,6.507692297385125890e-03,6.264704441780510891e-03,6.227208519137938936e-03
3.000000000000000000e+02,2.339716659408573873e-01,7.159002752306298234e-03,7.543678455031233021e-03,7.230452940007126017e-03,7.182260116610050815e-03
3.400000000000000000e+02,2.844378064578521048e-01,8.108652810863481442e-03,8.590283020216693544e-03,8.197007007594292460e-03,8.136568042406144841e-03
3.800000000000000000e+02,3.372754369248600614e-01,9.051448475046131037e-03,9.647423904287633079e-03,9.164354087371151536e-03,9.090069543245649086e-03
4.200000000000000000e+02,3.913748017885787522e-01,1.000309785501196647e-02,1.071509082318922168e-02,1.013244310613237165e-02,1.004301608763213949e-02
