t,idle_infid_CD,idle_infid_decoh,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
2.000000000000000000e+01,2.905270602129383928e-02,1.453346161382818025e-03,1.453830745601958352e-03,1.453431930068693756e-03,1.453376031731845597e-03
4.000000000000000000e+01,1.084614129966495755e-01,2.904296557343255536e-03,2.906231612368193051e-03,2.904639054329416492e-03,2.904415551225780767e-03
6.000000000000000000e+01,2.252429187606910244e-01,4.352855414163747660e-03,4.357202152055650313e-03,4.353624785101539718e-03,4.353122567643197272e-03
8.000000000000000000e+01,3.616820286621111880e-01,5.799026955614960954e-03,5.806741919870073154e-03,5.800392507771423567e-03,5.799500990634087749e-03
1.000000000000000000e+02,4.995756545273685179e-01,7.242815391531265412e-03,7.254850465425510819e-03,7.244945625120569055e-03,7.243554969155796552e-03
1.200000000000000000e+02,6.240665875404771690e-01,8.684224925377459492e-03,8.701527295896849257e-03,8.687287501296603320e-03,8.685288022818316023e-03
1.400000000000000000e+02,7.259935433816182559e-01,1.012325976271299943e-02,1.014677199164581989e-02,1.012742151673645674e-02,1.012470424060263330e-02
1.600000000000000000e+02,8.023065581922266265e-01,1.155992408836337138e-02,1.159058409401469980e-02,1.156535104270062231e-02,1.156180752784763399e-02
1.800000000000000000e+02,8.548129976614688985e-01,1.299422208194167538e-02,1.303296315793806004e-02,1.300107944446909913e-02,1.299660137618147138e-02
2.000000000000000000e+02,8.880411995288495230e-01,1.442615791679435766e-02,1.447390874843529351e-02,1.443461008304181004e-02,1.442909044424028897e-02
2.200000000000000000e+02,9.071526298948461298e-01,1.585573575852872175e-02,1.591342043060511857e-02,1.586594631284987678e-02,1.585927825643079769e-02
2.400000000000000000e+02,9.165911461645714908e-01,1.728295976516414090e-02,1.735149777487754452e-02,1.729509148516167327e-02,1.728716869124657940e-02
2.600000000000000000e+02,9.196855776708858787e-01,1.870783408686071958e-02,1.878814035915826741e-02,1.872204894474377435e-02,1.871276561958162832e-02
2.800000000000000000e+02,9.189566089773865132e-01,2.013036286600677904e-02,2.022334776678175183e-02,2.014682203341261468e-02,2.013607290769670044e-02
3.000000000000000000e+02,9.166259063172961241e-01,2.155055023743490672e-02,2.165711958551619354e-02,2.156941406168366715e-02,2.155709440895575701e-02
3.200000000000000000e+02,9.148673968367396769e-01,2.296840032837432766e-02,2.308945540327106416e-02,2.298982840591967669e-02,2.297583397923430581e-02
3.400000000000000000e+02,9.156118248768855272e-01,2.438391725822242062e-02,2.452035481943837247e-02,2.440806836970399463e-02,2.439229546115140312e-02
3.600000000000000000e+02,9.200472018508527583e-01,2.579710513872712774e-02,2.594981743792584838e-02,2.582413727318405572e-02,2.580648269204366407e-02
3.800000000000000000e+02,9.281684862390632285e-01,2.720796807388581318e-02,2.737784287686190199e-02,2.723803845923311595e-02,2.721839950279120179e-02
4.000000000000000000e+02,9.387169834485713515e-01,2.861651016004973513e-02,2.880443072180216557e-02,2.864977518626254938e-02,2.862804971843524449e-02
