t,X2_infid_CD,X2_infid_decoh,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
2.000000000000000000e+01,1.155371619668335015e-01,1.453350323128321797e-03,1.658522448617083533e-03,1.492692744479162670e-03,1.465101715984018504e-03
6.000000000000000000e+01,1.564953978913887767e-01,4.352895892052788263e-03,4.643720742741441754e-03,4.407223873581167517e-03,4.369232263595201893e-03
1.000000000000000000e+02,2.306199009199331185e-01,7.242935475482825680e-03,7.704812652399084527e-03,7.327197089667891738e-03,7.268424295638897803e-03
1.400000000000000000e+02,3.288775808034779535e-01,1.012349236957577059e-02,1.084094844723959561e-02,1.025249678501871653e-02,1.016266578985358660e-02
1.800000000000000000e+02,4.401505489228416668e-01,1.299461334161011727e-02,1.405126463830375094e-02,1.318300812532158250e-02,1.305194572627677019e-02
2.200000000000000000e+02,5.532104511624117427e-01,1.585632130679748286e-02,1.733488276270356288e-02,1.611861511967327409e-02,1.593625084735761366e-02
2.600000000000000000e+02,6.584845887964108080e-01,1.870863254475119142e-02,2.069091026407154921e-02,1.905920375672953693e-02,1.881557099774033848e-02
3.000000000000000000e+02,7.492499004087149750e-01,2.155162908821672829e-02,2.411844003653262902e-02,2.200465944262630646e-02,2.168989353512351670e-02
3.400000000000000000e+02,8.220797417142675645e-01,2.438529926229882072e-02,2.761655388255623844e-02,2.495486893183873622e-02,2.455920779397757769e-02
3.800000000000000000e+02,8.765799395613914635e-01,2.720969274732254473e-02,3.118431776125552002e-02,2.790971643168160821e-02,2.742350220432510088e-02
4.200000000000000000e+02,9.146209850087596571e-01,3.002482343557277833e-02,3.482078626946072397e-02,3.086908993121784128e-02,3.028276682074704240e-02
