t,idle_infid_CD,idle_infid_decoh,idle_infid_DD
2.062500000000000000e+01,2.384326669635283835e-03,4.948086286400421585e-04,6.543063838876372884e-04
4.062500000000000000e+01,7.668350241192833927e-03,9.742577397616747348e-04,1.151462410410863946e-03
6.062500000000000000e+01,1.596715781208590812e-02,1.453347454645426140e-03,1.660185596751850845e-03
8.062500000000000000e+01,2.719836113355122986e-02,1.932078070223774979e-03,2.180406868272255494e-03
1.006250000000000000e+02,4.125191547745710174e-02,2.410449883404219840e-03,2.712155116237013885e-03
1.206250000000000000e+02,5.799159381884755327e-02,2.888463190696244354e-03,3.255324244790691601e-03
1.406250000000000000e+02,7.725679640169891282e-02,3.366118287664199293e-03,3.809912485409960858e-03
1.606250000000000000e+02,9.886466849179065264e-02,3.843415470450417537e-03,4.375906092005665826e-03
1.806250000000000000e+02,1.226124946614900457e-01,4.320355035221767892e-03,4.953284030206561717e-03
2.006250000000000000e+02,1.482803339838657530e-01,4.796937277500745722e-03,5.541949919060429330e-03
2.206250000000000000e+02,1.756338570958198009e-01,5.273162491924665574e-03,6.141957080438187333e-03
2.406250000000000000e+02,2.044273432742307328e-01,5.749030973344559925e-03,6.753231629467615349e-03
2.606250000000000000e+02,2.344067934956772792e-01,6.224543016354999736e-03,7.375687422313093045e-03
2.806250000000000000e+02,2.653131139515918502e-01,6.699698915288543333e-03,8.009432861687315608e-03
3.006250000000000000e+02,2.968853236859171352e-01,7.174498964219067076e-03,8.654244113868614363e-03
3.206250000000000000e+02,3.288637399255094351e-01,7.648943456969092836e-03,9.310240855602058829e-03
3.406250000000000000e+02,3.609930952792403946e-01,8.123032687102904603e-03,9.977413382879496417e-03
3.606250000000000000e+02,3.930255422826032241e-01,8.596766947922440671e-03,1.065553397227991805e-02
3.806250000000000000e+02,4.247235027369981042e-01,9.070146532469847145e-03,1.134478605620292679e-02
4.006250000000000000e+02,4.558623219018954620e-01,9.543171733529254297e-03,1.204494205073702862e-02
