t,X1_infid_CD,X1_infid_decoh,X1_infid_DD
2.062500000000000000e+01,1.785323427551865905e-02,4.948128932745765596e-04,7.893745693929865581e-03
6.062500000000000000e+01,2.658007488621660919e-02,1.453384749712682833e-03,8.903725654155203451e-03
1.006250000000000000e+02,4.279050500748016184e-02,2.410552587662428969e-03,9.972406605402994728e-03
1.406250000000000000e+02,6.612882222773353025e-02,3.366319478811385935e-03,1.109949688635225584e-02
1.806250000000000000e+02,9.609220219294645204e-02,4.320685537734902937e-03,1.228470093979849853e-02
2.206250000000000000e+02,1.320431347926739329e-01,5.273654984210507379e-03,1.352767154882850154e-02
2.606250000000000000e+02,1.732250386837431710e-01,6.225229876018034680e-03,1.482815969647932608e-02
3.006250000000000000e+02,2.187806077739644639e-01,7.175411942722198511e-03,1.618575455258253193e-02
3.406250000000000000e+02,2.677724582357772221e-01,8.124203347971148403e-03,1.760017353932918915e-02
3.806250000000000000e+02,3.192054374442871989e-01,9.071606932945952551e-03,1.907099369252907017e-02
4.206250000000000000e+02,3.720501298974325799e-01,1.001762229375346980e-02,2.059795106772166484e-02
