t,idle_infid_CD,idle_infid_decoh,idle_infid_DD
2.062500000000000000e+01,3.305108285346003427e-02,1.498724603269940836e-03,2.362717269249747787e-03
4.062500000000000000e+01,1.150447502749936124e-01,2.949600199689927926e-03,4.173974706244476529e-03
6.062500000000000000e+01,2.334144766053767306e-01,4.398084388977818726e-03,6.222698488083655555e-03
8.062500000000000000e+01,3.703159904387399726e-01,5.844181394814462749e-03,8.507251849032115842e-03
1.006250000000000000e+02,5.076685894660117881e-01,7.287895426341450822e-03,1.102589695308786588e-02
1.206250000000000000e+02,6.309210209881807030e-01,8.729230687301692271e-03,1.377667220654876790e-02
1.406250000000000000e+02,7.312895060733697328e-01,1.016819138292601732e-02,1.675745659030414281e-02
1.606250000000000000e+02,8.060603527499746734e-01,1.160478169743472954e-02,1.996568175206769880e-02
1.806250000000000000e+02,8.572606796410296992e-01,1.303900581041783635e-02,2.339914566573519927e-02
2.006250000000000000e+02,8.895029725424167255e-01,1.447086789497076253e-02,2.705497951672242163e-02
2.206250000000000000e+02,9.079284696902261143e-01,1.590037211646144755e-02,3.093042153474179212e-02
2.406250000000000000e+02,9.169133052163128683e-01,1.732752263267134385e-02,3.502283014785756432e-02
2.606250000000000000e+02,9.197233624778385908e-01,1.875232359348555367e-02,3.932849482950595554e-02
2.806250000000000000e+02,9.188470159523017822e-01,2.017477914109444548e-02,4.384455893159655560e-02
3.006250000000000000e+02,9.164988591069782586e-01,2.159489341007969632e-02,4.856739628663397923e-02
3.206250000000000000e+02,9.148460571804182262e-01,2.301267052741218233e-02,5.349374243010163177e-02
3.406250000000000000e+02,9.157885076623324405e-01,2.442811461228100445e-02,5.861919064134801793e-02
3.606250000000000000e+02,9.204523999570503046e-01,2.584122977615022076e-02,6.394075222602602082e-02
3.806250000000000000e+02,9.287556745945796388e-01,2.725202012283167718e-02,6.945360082311069494e-02
4.006250000000000000e+02,9.393773176924438140e-01,2.866048974838630858e-02,7.515454443313962507e-02
