t,X2_infid_CD,X2_infid_decoh,X2_infid_DD
2.062500000000000000e+01,8.378512312008634666e-02,1.498726615168255449e-03,3.675009942577445177e-02
6.062500000000000000e+01,1.270305549435238879e-01,4.398128518216637417e-03,4.028438096641140387e-02
1.006250000000000000e+02,2.048160260835070190e-01,7.288017853709582994e-03,4.454173173668130037e-02
1.406250000000000000e+02,3.075506332560137279e-01,1.016843078937079703e-02,4.951155205650659141e-02
1.806250000000000000e+02,4.234916477713387417e-01,1.303939615340599101e-02,5.518196423243515447e-02
2.206250000000000000e+02,5.408560057588145398e-01,1.590096002200580561e-02,6.153942612487739439e-02
2.606250000000000000e+02,6.496901806145913838e-01,1.875313417344848244e-02,6.856843222258635073e-02
3.006250000000000000e+02,7.431104469235921828e-01,2.159596788392725841e-02,7.625246906115634715e-02
3.406250000000000000e+02,8.177326808029770078e-01,2.442948934199140609e-02,8.457333052130278084e-02
3.806250000000000000e+02,8.733445770711872891e-01,2.725374852361561739e-02,9.351152724426681218e-02
4.206250000000000000e+02,9.120536826263887509e-01,3.006874087287148001e-02,1.030462888570313762e-01
