t,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
2.000000000000000000e+01,2.788740005766486216e-02,1.972415864634202777e-05,7.476899336384401832e-06,3.836311785787027322e-06
4.000000000000000000e+01,1.064873366733414123e-01,7.800900266001553672e-05,2.956723932599103515e-05,1.516999893684922758e-05
6.000000000000000000e+01,2.221910204791148757e-01,1.722542114764424989e-04,6.527375800990330948e-05,3.348753746386712630e-05
8.000000000000000000e+01,3.568766908816406458e-01,2.983281840606511002e-04,1.130116468507502697e-04,5.797281939855514481e-05
1.000000000000000000e+02,4.927019366720745142e-01,4.508521707939666559e-04,1.707172236255410978e-04,8.756307641331450686e-05
1.200000000000000000e+02,6.158851493058000726e-01,6.235615403491423991e-04,2.359862983474508976e-04,1.210201178382752603e-04
1.400000000000000000e+02,7.184569299269927267e-01,8.097125614873090967e-04,3.062302338336181590e-04,1.570107056001018820e-04
1.600000000000000000e+02,7.979850070789419325e-01,1.002500192619920584e-03,3.788365006495908655e-04,1.941892952385387968e-04
1.800000000000000000e+02,8.560119247825727085e-01,1.195452995413722646e-03,4.513207139814562146e-04,2.312764208717699296e-04
2.000000000000000000e+02,8.961479123724663820e-01,1.382775152785117390e-03,5.214585156038887203e-04,2.671267144775807401e-04
2.200000000000000000e+02,9.225244006887558523e-01,1.559612114280441381e-03,5.873881364718280818e-04,3.007818169268810875e-04
2.400000000000000000e+02,9.388958959986409836e-01,1.722224793403075507e-03,6.476776970602837746e-04,3.315050917441508555e-04
2.600000000000000000e+02,9.483206971994724288e-01,1.868066563677974780e-03,7.013549185769568563e-04,3.587969295569659448e-04
2.800000000000000000e+02,9.531775387324356030e-01,1.995766557774806323e-03,7.479005318351938502e-04,3.823912950133234951e-04
3.000000000000000000e+02,9.552821504345269110e-01,2.105031035584124018e-03,7.872099173472562944e-04,4.022358591354086217e-04
3.200000000000000000e+02,9.559737549439069060e-01,2.196481071339139151e-03,8.195300573672686592e-04,4.184593818415627492e-04
3.400000000000000000e+02,9.561533213930492048e-01,2.271448931699970343e-03,8.453805056128627354e-04,4.313308447712394032e-04
3.600000000000000000e+02,9.563152044512822636e-01,2.331756987694818661e-03,8.654676672575139715e-04,4.412151561256077862e-04
3.800000000000000000e+02,9.566137622928643225e-01,2.379501827692771538e-03,8.806012230647359065e-04,4.485299894821009924e-04
4.000000000000000000e+02,9.569735813347211018e-01,2.416862738902379043e-03,8.916201733541112085e-04,4.537076368328163238e-04
