t,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
2.000000000000000000e+01,1.145589554423791651e-01,2.054871614253661496e-04,3.939916345995220497e-05,1.176469600307261719e-05
6.000000000000000000e+01,1.515289208713460900e-01,2.909244185564952034e-04,5.431531004619349629e-05,1.633899978215058724e-05
1.000000000000000000e+02,2.209890126582776670e-01,4.604232864059598813e-04,8.394182301030172935e-05,2.542506069684313875e-05
1.400000000000000000e+02,3.148251393971047141e-01,7.116658620073612130e-04,1.279320302449116176e-04,3.891733476030667416e-05
1.800000000000000000e+02,4.227527036577665154e-01,1.042042801963091172e-03,1.858959337843724114e-04,5.669679830112239830e-05
2.200000000000000000e+02,5.340602399560663294e-01,1.449228632119667912e-03,2.574866586658663904e-04,7.865746526260042175e-05
2.600000000000000000e+02,6.392775271810502424e-01,1.931485736724473023e-03,3.424463605579996833e-04,1.047206214936002904e-04
3.000000000000000000e+02,7.314326966210542569e-01,2.487685445321734679e-03,4.406099972034005388e-04,1.348367424655183685e-04
3.400000000000000000e+02,8.066516151762214148e-01,3.117172593696488758e-03,5.518856158313856751e-04,1.689793706439157695e-04
3.800000000000000000e+02,8.640436295705532510e-01,3.819614044778882680e-03,6.762323426601846502e-04,2.071383110003810414e-04
4.200000000000000000e+02,9.050359744359964820e-01,4.594893354595624632e-03,8.136451444318170854e-04,2.493144137580694105e-04
