t,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
20.0,0.016306118253437862,2.4000411111391173e-05,4.595342859570195e-06,1.3734164410195149e-06
60.0,0.021419510805539277,3.1791224528232576e-05,6.006592330853877e-06,1.8100036534018926e-06
100.0,0.03161410186659408,4.737249471431504e-05,8.828034655739003e-06,2.683161409167134e-06
140.0,0.04682570146166787,7.074460527412008e-05,1.3060935028730292e-05,3.992739266434064e-06
180.0,0.06695937222161041,0.00010192130669417487,1.871012057985677e-05,5.742358766269717e-06
220.0,0.09188762947690421,0.0001408876004759252,2.57704104761336e-05,7.927511411542909e-06
260.0,0.12145536377622079,0.0001876272819818503,3.423454279682936e-05,1.0546045945192262e-05
300.0,0.1554755936539035,0.00024216226322737455,4.411287915184747e-05,1.3602288592151623e-05
340.0,0.193737400515549,0.0003044847314059851,5.540160732286914e-05,1.7095099471564623e-05
380.0,0.23600192883250914,0.0003745978235951686,6.810283196467815e-05,2.102445681206877e-05
420.0,0.28200502186167853,0.00045250177495803623,8.221463646673755e-05,2.5393159210462812e-05
