t,X2_infid_CD,X2_infid_DD
2.062500000000000000e+01,8.275564766792255222e-02,3.530820752887527114e-02
6.062500000000000000e+01,1.225995989828143340e-01,3.575513386089999163e-02
1.006250000000000000e+02,1.965010896898438664e-01,3.667255856268428899e-02
1.406250000000000000e+02,2.951530983173577538e-01,3.810078473993170484e-02
1.806250000000000000e+02,4.072649826255238525e-01,4.009109596953942117e-02
2.206250000000000000e+02,5.216685704578258864e-01,4.269343083907657654e-02
2.606250000000000000e+02,6.289929405589420597e-01,4.594336213377617911e-02
3.006250000000000000e+02,7.226609014811918863e-01,4.985300671572196612e-02
3.406250000000000000e+02,7.991873392855137759e-01,5.440982514247699742e-02
3.806250000000000000e+02,8.578954406513671360e-01,5.958330167282761824e-02
4.206250000000000000e+02,9.002390276662756152e-01,6.533560509470259792e-02
