gamma,idle_2nd_error_N_4,idle_2nd_error_N_6,idle_2nd_error_N_8
1.591549430918953387e-02,3.141168249602226820e-02,3.141410770905806588e-02,3.141491468451291375e-02
3.183098861837906773e-02,3.139895318089053894e-02,3.140865150121181781e-02,3.141188465827007836e-02
4.774648292756861201e-02,3.137774582391654465e-02,3.139955953904134678e-02,3.140683288686532681e-02
6.366197723675813547e-02,3.134807266123991465e-02,3.138683382983745163e-02,3.139976188525395867e-02
7.957747154594767280e-02,3.130995112606863723e-02,3.137047787176825558e-02,3.139067139646003340e-02
9.549296585513722402e-02,3.126340253573092060e-02,3.135049564131155847e-02,3.137956383778224556e-02
1.114084601643267475e-01,3.120845504515429997e-02,3.132689256401473277e-02,3.136644063119105319e-02
1.273239544735162709e-01,3.114513951893214255e-02,3.129967411749122463e-02,3.135130343654102258e-02
1.432394487827058083e-01,3.107349279942260567e-02,3.126884774136002437e-02,3.133415458300174705e-02
1.591549430918953456e-01,3.099355622623348530e-02,3.123442128300717158e-02,3.131499637233584737e-02
1.750704374010848829e-01,3.090537597054164240e-02,3.119640412667492105e-02,3.129383149477370923e-02
1.909859317102744480e-01,3.080900327710778611e-02,3.115480345686205688e-02,3.127066299940753358e-02
2.069014260194639576e-01,3.070449366771481683e-02,3.110963239844392880e-02,3.124549657854440790e-02
2.228169203286534950e-01,3.059190687757939661e-02,3.106090166618672571e-02,3.121833055951953387e-02
2.387324146378430045e-01,3.047130851256799056e-02,3.100862377528150818e-02,3.118917144645999909e-02
2.546479089470325419e-01,3.034276785242706956e-02,3.095281136877341133e-02,3.115802485519323164e-02
2.705634032562221347e-01,3.020635906914098667e-02,3.089347990834403687e-02,3.112489416286768132e-02
2.864788975654116165e-01,3.006216023151164762e-02,3.083064350870891659e-02,3.108978416059944225e-02
3.023943918746011539e-01,2.991025460856590670e-02,3.076431835296735209e-02,3.105269983939311015e-02
3.183098861837906912e-01,2.975072805046941049e-02,3.069452114296367107e-02,3.101364637316350939e-02
3.342253804929802286e-01,2.958367630653799957e-02,3.062127014733719357e-02,3.097262927067150756e-02
3.501408748021697659e-01,2.940919090106280942e-02,3.054458374647258528e-02,3.092965439933115929e-02
3.660563691113593032e-01,2.922737333436926932e-02,3.046448145863429532e-02,3.088472842964855303e-02
3.819718634205488961e-01,2.903832802405875366e-02,3.038098300552472680e-02,3.083785713283701199e-02
3.978873577297383779e-01,2.884216256100039996e-02,3.029411008966286303e-02,3.078904747724774474e-02
4.138028520389279152e-01,2.863898911723630064e-02,3.020388484000855606e-02,3.073830619638490483e-02
4.297183463481174526e-01,2.842892293098982920e-02,3.011032979753909544e-02,3.068564078738128878e-02
4.456338406573069899e-01,2.821208599933444985e-02,3.001346893272394817e-02,3.063105850414152634e-02
4.615493349664965272e-01,2.798859710361734782e-02,2.991332672573703000e-02,3.057456718553834205e-02
4.774648292756860091e-01,2.775859106815135868e-02,2.980992842583418678e-02,3.051617518786811992e-02
4.933803235848756019e-01,2.752219166866292505e-02,2.970330016188350505e-02,3.045589036691784268e-02
5.092958178940650837e-01,2.727953454728726176e-02,2.959346861237334425e-02,3.039372157538413818e-02
5.252113122032546766e-01,2.703075779922422400e-02,2.948046247764470398e-02,3.032967768681233550e-02
5.411268065124442694e-01,2.677600163433736455e-02,2.936430932720202752e-02,3.026376754017699733e-02
5.570423008216337513e-01,2.651540992882288339e-02,2.924503880448593371e-02,3.019600045753044470e-02
5.729577951308232331e-01,2.624912946170939246e-02,2.912267945046086506e-02,3.012638716661265523e-02
5.888732894400128259e-01,2.597730986492095134e-02,2.899726628367172224e-02,3.005493602704924563e-02
6.047887837492023078e-01,2.570010380140859765e-02,2.886882681542220566e-02,2.998165784360306771e-02
6.207042780583919006e-01,2.541766658883205451e-02,2.873739469790939985e-02,2.990656329102718211e-02
6.366197723675813824e-01,2.513015592943724022e-02,2.860300288131073856e-02,2.982966253932104947e-02
6.525352666767709753e-01,2.483773266874128929e-02,2.846568509277653744e-02,2.975096673102717651e-02
6.684507609859604571e-01,2.454055942143825234e-02,2.832547576066245243e-02,2.967048774302855768e-02
6.843662552951499389e-01,2.423880105117933934e-02,2.818241048693037598e-02,2.958823450591270207e-02
7.002817496043395318e-01,2.393262577621228099e-02,2.803652435221457712e-02,2.950422121773197889e-02
7.161972439135290136e-01,2.362220216092419597e-02,2.788785466107575328e-02,2.941845897635476242e-02
7.321127382227186065e-01,2.330770196604192018e-02,2.773643723608998357e-02,2.933095989474870241e-02
7.480282325319080883e-01,2.298929781010683113e-02,2.758231135795766523e-02,2.924173628964692184e-02
7.639437268410977921e-01,2.266715675140434580e-02,2.742551588450282962e-02,2.915080069086167791e-02
