t,X1X2_infid_CD,X1X2_infid_N_4,X1X2_infid_N_6,X1X2_infid_N_8
20.0,0.03142021164636255,1.626129685272648e-05,2.451361549637987e-06,9.077041674965258e-07
60.0,0.07310342442266016,5.128214385974328e-05,4.650089486024633e-06,1.3801071798713593e-06
100.0,0.15287185403247627,0.00012131453179720086,9.046848213345449e-06,2.326343573666456e-06
140.0,0.2638350901467965,0.00022638938883656756,1.5642159615913975e-05,3.746643197133359e-06
180.0,0.3963951456723328,0.0003664494144057784,2.444505944987352e-05,5.64252370049978e-06
220.0,0.5390442944686973,0.0005414604045447247,3.545022201423276e-05,8.007695786904634e-06
260.0,0.6792511642414834,0.0007515062725568233,4.8640857481796473e-05,1.0852134359362609e-05
300.0,0.8041712680873361,0.0009965004688955448,6.40285228450388e-05,1.41738713173023e-05
340.0,0.8999475071755549,0.0012764752459718531,8.161473787704487e-05,1.7963869906045815e-05
380.0,0.9456433832767251,0.0015913521842467748,0.00010141214659853404,2.2232416122980325e-05
420.0,0.9418820543318291,0.0019410934650770928,0.0001234046272597933,2.697225713110818e-05
