t,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
2.000000000000000000e+01,2.587709061726639614e-02,3.839964531915374124e-05,7.351844946823504756e-06,2.196738457582725346e-06
6.000000000000000000e+01,3.390414018943022079e-02,5.086364766881956712e-05,9.608884737666301135e-06,2.894941617315183180e-06
1.000000000000000000e+02,4.978291227714226608e-02,7.579122976153485070e-05,1.412295739755542456e-05,4.291307561743451515e-06
1.400000000000000000e+02,7.316702631248195310e-02,1.131815880395237173e-04,2.089402839211551566e-05,6.385877126979799812e-06
1.800000000000000000e+02,1.035474846873981614e-01,1.630334476718786618e-04,2.992206268392916257e-05,9.178641806384391089e-06
2.200000000000000000e+02,1.402650510810875550e-01,2.253451647181714534e-04,4.120700143628308609e-05,1.266956736467594880e-05
2.600000000000000000e+02,1.825262494859429818e-01,3.001146413927902046e-04,5.474876529620864574e-05,1.685869194534284077e-05
3.000000000000000000e+02,2.294225798332979460e-01,3.873394233068205850e-04,7.054729293543005042e-05,2.174598598936317018e-05
3.400000000000000000e+02,2.799524196939160436e-01,4.870165292064632112e-04,8.860248048314645075e-05,2.733136492794052685e-05
3.800000000000000000e+02,3.330450972439830126e-01,5.991427558100781425e-04,1.089142312615809516e-04,3.361493696341089077e-05
4.200000000000000000e+02,3.875864673419657791e-01,7.237142758803605247e-04,1.314824134708292291e-04,4.059664597411138942e-05
