J,X1X2_infid_CD,X1X2_infid_N_4,X1X2_infid_N_6,X1X2_infid_N_8
1.000000000000000056e-01,2.054062144962731651e-05,1.002764948854206750e-08,1.505336633123022239e-09,5.639684275138279190e-10
3.518987341772151778e-01,2.543173728433156811e-04,1.241910523308575875e-07,1.864277443530681921e-08,6.981935918304316147e-09
6.037974683544302668e-01,7.484579363048471379e-04,3.657588809602430047e-07,5.490947074804353178e-08,2.056145831375033595e-08
8.556962025316453557e-01,1.502401976928857685e-03,7.350069143319259979e-07,1.103435259830476411e-07,4.131409403473895736e-08
1.107594936708860667e+00,2.515294889282815305e-03,1.232358167846392405e-06,1.850246670320743192e-07,6.925955875480838131e-08
1.359493670886075867e+00,3.785989870495276577e-03,1.858379599206649857e-06,2.790442990008301649e-07,1.044244124503990179e-07
1.611392405063290845e+00,5.313048638808881563e-03,2.613787480010287823e-06,3.925227558543298301e-07,1.468406904958641235e-07
1.863291139240506267e+00,7.094744896193105888e-03,3.499442179255574104e-06,5.256033894784906124e-07,1.965469952347476124e-07
2.115189873417721245e+00,9.129067416910663368e-03,4.516352283046032312e-06,6.784561163986069232e-07,2.535856268304215178e-07
2.367088607594936001e+00,1.141372316925137742e-02,5.665671999999233321e-06,8.512755181877551536e-07,3.180178451689386065e-07
2.618987341772151645e+00,1.394614017564987929e-02,6.948706307907670521e-06,1.044275323658361287e-06,3.898917381173205854e-07
2.870886075949366401e+00,1.672347551273090094e-02,8.366905376866462518e-06,1.257699846157755985e-06,4.692829435049006293e-07
3.122784810126581601e+00,1.974261609491345659e-02,9.921873598495167812e-06,1.491821356447431413e-06,5.562625471355886475e-07
3.374683544303796801e+00,2.300018581657958805e-02,1.161534836613409283e-05,1.746928948831438788e-06,6.509005590071836878e-07
3.626582278481012445e+00,2.649255270639927495e-02,1.344923898616290359e-05,2.023344025658957435e-06,7.532972119417280510e-07
3.878481012658227645e+00,3.021583245125047945e-02,1.542559922707020803e-05,2.321411863070999004e-06,8.635346508967245427e-07
4.130379746835441956e+00,3.416589725704355374e-02,1.754661431230264412e-05,2.641497329980424524e-06,9.817222352825893950e-07
4.382278481012656712e+00,3.833838268486111645e-02,1.981465593914322199e-05,2.983994678351642449e-06,1.107961479007713024e-06
4.634177215189872356e+00,4.272869411491408975e-02,2.223222375297151387e-05,3.349334775082368765e-06,1.242367424936219322e-06
4.886075949367087112e+00,4.733201569388201246e-02,2.480198123355759066e-05,3.737954949678545802e-06,1.385068986614612641e-06
5.137974683544302756e+00,5.214331821470297168e-02,2.752673610617595301e-05,4.150336003427845810e-06,1.536190003981197094e-06
5.389873417721517512e+00,5.715736777224633691e-02,3.040946836352365068e-05,4.586976688591981599e-06,1.695854491834403177e-06
5.641772151898734045e+00,6.236873491786032453e-02,3.345330890458519946e-05,5.048409208563420236e-06,1.864224836722883083e-06
5.893670886075947912e+00,6.777180380576108831e-02,3.666155520321012773e-05,5.535174112503149502e-06,2.041448425416092505e-06
6.145569620253162668e+00,7.336078193683481796e-02,4.003763298887630384e-05,6.047870445891057045e-06,2.227674810839630481e-06
6.397468354430378312e+00,7.912970991838808033e-02,4.358516820557323257e-05,6.587095971566370167e-06,2.423081573277308109e-06
6.649367088607592180e+00,8.507247175908072556e-02,4.730793495855145636e-05,7.153495943157395232e-06,2.627839169710988187e-06
6.901265822784809600e+00,9.118280523268751381e-02,5.120985480666639944e-05,7.747723134388095900e-06,2.842125577329213115e-06
7.153164556962023468e+00,9.745431246291746952e-02,5.529505208323737264e-05,8.370496331289167813e-06,3.066129627526947843e-06
7.405063291139240000e+00,1.038804707822187368e-01,5.956775702120609139e-05,9.022513292267220208e-06,3.300056679478302613e-06
7.656962025316453868e+00,1.104546439523346191e-01,6.403243309749395706e-05,9.704541379385034361e-06,3.544115695142124878e-06
7.908860759493668624e+00,1.171700930405343843e-01,6.869368995521263344e-05,1.041735351792194564e-05,3.798493925288859430e-06
8.160759493670884268e+00,1.240199877301723097e-01,7.355627817839938132e-05,1.116178327897898725e-05,4.063450555258363295e-06
8.412658227848099912e+00,1.309974179564008523e-01,7.862517786849654300e-05,1.193863992166033228e-05,4.339193829472343111e-06
