t,X1X2_infid_CD,X1X2_infid_N_4,X1X2_infid_N_6,X1X2_infid_N_8
2.000000000000000000e+01,4.948253021999593493e-02,2.601490534848149849e-05,3.921486737112900300e-06,1.452360520959317114e-06
6.000000000000000000e+01,1.126901557313273461e-01,8.203062303346886353e-05,7.439174419254790394e-06,2.209115040896492133e-06
1.000000000000000000e+02,2.258987438868953479e-01,1.940522672768674184e-04,1.447451639857710859e-05,3.722621327084674192e-06
1.400000000000000000e+02,3.664488977811034554e-01,3.620602247048632094e-04,2.502744289445413273e-05,5.992893155393197446e-06
1.800000000000000000e+02,5.085296547692180757e-01,5.860250499193364604e-04,3.909782065991684874e-05,9.019902989848560537e-06
2.200000000000000000e+02,6.300159483601650567e-01,8.659075980753661028e-04,5.668549470194683693e-05,1.280368118616870277e-05
2.600000000000000000e+02,7.176964461775415804e-01,1.201658875989108921e-03,7.779030640819861731e-05,1.734412594311951494e-05
3.000000000000000000e+02,7.693217228384293671e-01,1.593220070166490032e-03,1.024119712912385793e-04,2.264132349405478806e-05
3.400000000000000000e+02,7.919919621407347510e-01,2.040522823964607824e-03,1.305502781903111753e-04,2.869524602711059913e-05
3.800000000000000000e+02,7.976365109255163510e-01,2.543488656036041462e-03,1.622048627837324730e-04,3.550583985756361471e-05
4.200000000000000000e+02,7.972981688666694877e-01,3.102029854561982880e-03,1.973753880173401143e-04,4.307312494733483987e-05
