J,X1_infid_CD,X1_infid_N_4,X1_infid_N_6,X1_infid_N_8
1.000000000000000056e-01,4.224099885208332239e-06,8.251049954388633978e-08,1.407602034930732771e-08,4.240088835594235661e-09
3.518987341772151778e-01,5.235455450536274924e-05,1.022220706636822740e-06,1.743969331169381576e-07,5.253292711948631677e-08
6.037974683544302668e-01,1.544205623446037734e-04,3.012433318239082780e-06,5.140063537023564777e-07,1.548351740154885192e-07
8.556962025316453557e-01,3.110176169961453851e-04,6.059309952677338629e-06,1.034096962171382472e-06,3.115126236963305928e-07
1.107594936708860667e+00,5.230532137894261524e-04,1.017225723032311180e-05,1.736488552617210246e-06,5.231241200220893006e-07
1.359493670886075867e+00,7.917445885983198650e-04,1.536392274803510816e-05,2.623633452714102532e-06,7.904213530363080054e-07
1.611392405063290845e+00,1.118615616007567759e-03,2.165018925859296672e-05,3.698608354363308592e-06,1.114346485309170021e-06
1.863291139240506267e+00,1.505492871018865308e-03,2.905016739040977569e-05,4.965118833966108980e-06,1.496041100446099392e-06
2.115189873417721245e+00,1.954500957648597215e-03,3.758618826910087307e-05,6.427497610372867598e-06,1.936833157190065435e-06
2.367088607594936001e+00,2.468056958619180286e-03,4.728379276597305392e-05,8.090705103880324600e-06,2.438245470082200939e-06
2.618987341772151645e+00,3.048864124028605183e-03,5.817172152600136315e-05,9.960325461966235139e-06,3.001993230333788176e-06
2.870886075949366401e+00,3.699904729794978309e-03,7.028190046542981406e-05,1.204257068965208788e-05,3.629983493347310741e-06
3.122784810126581601e+00,4.424432110970655252e-03,8.364942815664022646e-05,1.434427689994688393e-05,4.324317830928237072e-06
3.374683544303796801e+00,5.225961914661292340e-03,9.831256006287425464e-05,1.687291150498371195e-05,5.087288493021979718e-06
3.626582278481012445e+00,6.108262491470339839e-03,1.143126909294300830e-04,1.963654268222203569e-05,5.921379620743572048e-06
3.878481012658227645e+00,7.075344501742519832e-03,1.316943367235534623e-04,2.264388258499394624e-05,6.829268343722105783e-06
4.130379746835441956e+00,8.131449735639728615e-03,1.505051171534210752e-04,2.590425717596822608e-05,7.813823325819591048e-06
4.382278481012656712e+00,9.281038994785051344e-03,1.707957302418128265e-04,2.942761238355906528e-05,8.878106175558286850e-06
4.634177215189872356e+00,1.052877929670548163e-02,1.926199312943799313e-04,3.322451264864412224e-05,1.002537143279802478e-05
4.886075949367087112e+00,1.187953025557464404e-02,2.160345089412540887e-04,3.730613989283426690e-05,1.125905923982095658e-05
5.137974683544302756e+00,1.333832953206304239e-02,2.410992638761655371e-04,4.168429197493050964e-05,1.258280816873735830e-05
5.389873417721517512e+00,1.491037767095271249e-02,2.678769693748028757e-04,4.637136412455333812e-05,1.400044670063493868e-05
5.641772151898734045e+00,1.660102203229918416e-02,2.964333587105461021e-04,5.138041687369199195e-05,1.551597973548091147e-05
5.893670886075947912e+00,1.841573986806588348e-02,3.268370851572388602e-04,5.672506683374045622e-05,1.713362357169678774e-05
6.145569620253162668e+00,2.036012147405075190e-02,3.591596897933868604e-04,6.241956007357885028e-05,1.885777704602187299e-05
6.397468354430378312e+00,2.243985066645426407e-02,3.934755743670859118e-04,6.847875488058541293e-05,2.069302945384432491e-05
6.649367088607592180e+00,2.466068679591248980e-02,4.298619634933720235e-04,7.491810922122255079e-05,2.264416001585001226e-05
6.901265822784809600e+00,2.702844485744437808e-02,4.683988713235498480e-04,8.175368697127538553e-05,2.471613798760152747e-05
7.153164556962023468e+00,2.954897503961362304e-02,5.091690595199205305e-04,8.900215428975233323e-05,2.691412233846168789e-05
7.405063291139240000e+00,3.222814220321024159e-02,5.522580002154109380e-04,9.668077702396082884e-05,2.924346123944765452e-05
7.656962025316453868e+00,3.507180356179750991e-02,5.977538381852776084e-04,1.048074179312852294e-04,3.170969215349206394e-05
7.908860759493668624e+00,3.808578764867431854e-02,6.457473482068820658e-04,1.134005351535183337e-04,3.431854109692267230e-05
8.160759493670884268e+00,4.127587102963548027e-02,6.963318903107085234e-04,1.224791799991908903e-04,3.707592295720818498e-05
8.412658227848099912e+00,4.464775572947554672e-02,7.496033657847789300e-04,1.320629929200123343e-04,3.998794041581987813e-05
8.664556962025313780e+00,4.820704609043924282e-02,8.056601646447836274e-04,1.421722038621453521e-04,4.306088425065635050e-05
8.916455696202529424e+00,5.195922437120370496e-02,8.646031347678828638e-04,1.528276251147042686e-04,4.630123285276344092e-05
9.168354430379745068e+00,5.590962742965221999e-02,9.265355080841919388e-04,1.640506533799879207e-04,4.971565147582346356e-05
9.420253164556960712e+00,6.006342288001964569e-02,9.915628740451154499e-04,1.758632618154010174e-04,5.331099248151449643e-05
