J,X1X2_infid_CD,X1X2_infid_DD
1.000000000000000056e-01,1.453460121181304743e-05,9.332216178714602961e-07
3.518987341772151778e-01,1.799621705537157723e-04,1.160241432884845381e-05
6.037974683544302668e-01,5.297261493870664140e-04,3.416194116356852106e-05
8.556962025316453557e-01,1.063581281980696680e-03,6.860373150741061465e-05
1.107594936708860667e+00,1.781198444558595995e-03,1.149525103507631485e-04
1.359493670886075867e+00,2.682111966930023073e-03,1.731941620132237958e-04
1.611392405063290845e+00,3.765735087603472309e-03,2.433079972469220920e-04
1.863291139240506267e+00,5.031370087749564846e-03,3.253165384607958899e-04
2.115189873417721245e+00,6.478201664889104983e-03,4.191995915980850640e-04
2.367088607594936001e+00,8.105303115704898254e-03,5.249587685423051653e-04
2.618987341772151645e+00,9.911624661979701045e-03,6.426041944542770779e-04
2.870886075949366401e+00,1.189600587945582877e-02,7.721087420513583766e-04
3.122784810126581601e+00,1.405717269468831354e-02,9.134863988211616714e-04
3.374683544303796801e+00,1.639373783458419886e-02,1.066712220689991497e-03
3.626582278481012445e+00,1.890421047002244226e-02,1.231802091920641828e-03
3.878481012658227645e+00,2.158697194859582336e-02,1.408747320220227195e-03
4.130379746835441956e+00,2.444031632071530513e-02,1.597521843023308463e-03
4.382278481012656712e+00,2.746242078684379972e-02,1.798140524006841545e-03
4.634177215189872356e+00,3.065136190866657451e-02,2.010587379717043710e-03
4.886075949367087112e+00,3.400511403997907856e-02,2.234852034183276714e-03
5.137974683544302756e+00,3.752154322085377025e-02,2.470928719207399205e-03
5.389873417721517512e+00,4.119842632108028369e-02,2.718809998516036330e-03
5.641772151898734045e+00,4.503343506764390103e-02,2.978485414996234759e-03
5.893670886075947912e+00,4.902415962811557115e-02,3.249948711416372760e-03
6.145569620253162668e+00,5.316808263855199446e-02,3.533186005369559624e-03
6.397468354430378312e+00,5.746260280661241726e-02,3.828187810292815740e-03
6.649367088607592180e+00,6.190504314150158116e-02,4.134948075899869124e-03
6.901265822784809600e+00,6.649262077228568213e-02,4.453451906307193120e-03
7.153164556962023468e+00,7.122248588388035984e-02,4.783686247921581369e-03
7.405063291139240000e+00,7.609170615835958440e-02,5.125650057368202894e-03
7.656962025316453868e+00,8.109727420641232865e-02,5.479310207608834027e-03
7.908860759493668624e+00,8.623610406734028011e-02,5.844672802170380876e-03
8.160759493670884268e+00,9.150504378605328615e-02,6.221701624190556501e-03
8.412658227848099912e+00,9.690088026712773139e-02,6.610432938548571613e-03
8.664556962025313780e+00,1.024203239686661826e-01,7.010792114412800480e-03
8.916455696202529424e+00,1.080600317489531781e-01,7.422804644594216406e-03
9.168354430379745068e+00,1.138165972682877447e-01,7.846431373663476094e-03
9.420253164556960712e+00,1.196865706568950305e-01,8.281686977295477092e-03
9.672151898734174580e+00,1.256664401598367453e-01,8.728527213105907734e-03
9.924050632911390224e+00,1.317526497363225024e-01,9.186946998071432446e-03
1.017594936708860587e+01,1.379416059134047634e-01,9.656918640162714951e-03
1.042784810126581974e+01,1.442296664942350759e-01,1.013845571007399027e-02
1.067974683544303538e+01,1.506131587410457495e-01,1.063151350913893456e-02
1.093164556962025102e+01,1.570883702053048614e-01,1.113608015405220808e-02
1.118354430379746667e+01,1.636515587509457248e-01,1.165214079214682563e-02
1.143544303797468231e+01,1.702989687988782919e-01,1.217967599613678509e-02
1.168734177215189618e+01,1.770268018616505401e-01,1.271866380486952330e-02
1.193924050632911182e+01,1.838312540232781567e-01,1.326909715305890636e-02
1.219113924050632569e+01,1.907085054134665114e-01,1.383093811618185676e-02
1.244303797468354134e+01,1.976547129444110595e-01,1.440418094352513556e-02
1.269493670886075698e+01,2.046660361154168939e-01,1.498880082256892621e-02
1.294683544303797440e+01,2.117386273811623365e-01,1.558477408271363718e-02
1.319873417721518827e+01,2.188686343442428628e-01,1.619208086883361375e-02
1.345063291139240214e+01,2.260522058530529677e-01,1.681070419005903371e-02
1.370253164556961778e+01,2.332854946896708581e-01,1.744061019942722002e-02
1.395443037974683165e+01,2.405646714891946925e-01,1.808180473174947345e-02
1.420632911392404552e+01,2.478859059665265985e-01,1.873423718978128871e-02
1.445822784810126294e+01,2.552453848603422060e-01,1.939788506281314717e-02
1.471012658227847858e+01,2.626393163278852860e-01,2.007274688872584534e-02
1.496202531645569245e+01,2.700639205523786002e-01,2.075877485421795399e-02
1.521392405063290632e+01,2.775154516759734680e-01,2.145596174797437250e-02
1.546582278481012374e+01,2.849901846417025597e-01,2.216427980668034259e-02
1.571772151898734116e+01,2.924844205420790155e-01,2.288370196247802024e-02
1.596962025316455680e+01,2.999944904376427024e-01,2.361420029316363411e-02
1.622151898734177067e+01,3.075167630006683250e-01,2.435574716021771113e-02
1.647341772151898454e+01,3.150476373470454394e-01,2.510833888289243365e-02
1.672531645569620196e+01,3.225835555440851321e-01,2.587191958607171216e-02
1.697721518987341582e+01,3.301209954964586801e-01,2.664648401886859919e-02
1.722911392405062969e+01,3.376564780633322105e-01,2.743199515905936359e-02
1.748101265822784356e+01,3.451865643925886573e-01,2.822843148141984670e-02
1.773291139240506098e+01,3.527078607396105792e-01,2.903576417227493600e-02
1.798481012658227840e+01,3.602170312579440203e-01,2.985396496484826745e-02
1.823670886075949227e+01,3.677107692401462291e-01,3.068300274946511585e-02
1.848860759493670614e+01,3.751858280997516504e-01,3.152286619399580214e-02
1.874050632911392356e+01,3.826390056560839970e-01,3.237350980046116433e-02
1.899240506329113742e+01,3.900671613723820652e-01,3.323490854781352422e-02
1.924430379746835129e+01,3.974671912459857293e-01,3.410703612132903739e-02
1.949620253164556871e+01,4.048360527676079235e-01,3.498986166308315493e-02
1.974810126582278258e+01,4.121707580612139488e-01,3.588336644527212460e-02
2.000000000000000000e+01,4.194683664599534456e-01,3.678750427164989567e-02
