t,X1X2_infid_CD,X1X2_infid_DD
2.062500000000000000e+01,3.557543702433318966e-02,2.340158193940289344e-03
6.062500000000000000e+01,9.795634739739311758e-02,1.198264933173087687e-02
1.006250000000000000e+02,2.084219727732605776e-01,3.161090350017592421e-02
1.406250000000000000e+02,3.461592158986098733e-01,6.059584270924156524e-02
1.806250000000000000e+02,4.872506615825137333e-01,9.801765571419684964e-02
2.206250000000000000e+02,6.106669252343051024e-01,1.427058158078680083e-01
2.606250000000000000e+02,7.030196644749129309e-01,1.932895772841376480e-01
3.006250000000000000e+02,7.607207855022196652e-01,2.482567488699574110e-01
3.406250000000000000e+02,7.890314441315895433e-01,3.060174782997112652e-01
3.806250000000000000e+02,7.984730581221893830e-01,3.649701425355326156e-01
4.206250000000000000e+02,7.998970933161319019e-01,4.235662332288473442e-01
