t,idle_infid_CD
1.000000000000000000e+01,1.583584032529028462e-02
1.050251256281407031e+01,1.573947010230614119e-02
1.100502512562814061e+01,1.545343783600761078e-02
1.150753768844221092e+01,1.498593843624684840e-02
1.201005025125628123e+01,1.434976418749189797e-02
1.251256281407035154e+01,1.356199712045036421e-02
1.301507537688442184e+01,1.264359641304724224e-02
1.351758793969849215e+01,1.161888904947649959e-02
1.402010050251256246e+01,1.051497446552251969e-02
1.452261306532663276e+01,9.361056024204672532e-03
1.502512562814070307e+01,8.187714367355658496e-03
1.552763819095477338e+01,7.026139626190586185e-03
1.603015075376884369e+01,5.907341149464451213e-03
1.653266331658291222e+01,4.861354690785524291e-03
1.703517587939698430e+01,3.916467782521193541e-03
1.753768844221105638e+01,3.098484224543396337e-03
1.804020100502512491e+01,2.430048157107789208e-03
1.854271356783919344e+01,1.930047024359615726e-03
1.904522613065326553e+01,1.613110867245692859e-03
1.954773869346733761e+01,1.489222842612436537e-03
2.005025125628140614e+01,1.563452722174729637e-03
2.055276381909547467e+01,1.835821496415590559e-03
2.105527638190954676e+01,2.301301234005848073e-03
2.155778894472361884e+01,2.949950195512029971e-03
2.206030150753768737e+01,3.767179047512669854e-03
2.256281407035175590e+01,4.734140048387791566e-03
2.306532663316582799e+01,5.828227445858980005e-03
2.356783919597990007e+01,7.023674182762507101e-03
2.407035175879396860e+01,8.292227463583712321e-03
2.457286432160803713e+01,9.603883864812035043e-03
2.507537688442210921e+01,1.092766351096585709e-02
2.557788944723618130e+01,1.223240238136469316e-02
2.608040201005024983e+01,1.348754201909552197e-02
2.658291457286431836e+01,1.466389668573564453e-02
2.708542713567839044e+01,1.573437934142563055e-02
2.758793969849246253e+01,1.667466943807449642e-02
2.809045226130653106e+01,1.746380755767107384e-02
2.859296482412059959e+01,1.808470400391715138e-02
2.909547738693467167e+01,1.852455077041648135e-02
2.959798994974874375e+01,1.877512854193352787e-02
3.010050251256281584e+01,1.883300274065891067e-02
3.060301507537688792e+01,1.869960479136367759e-02
3.110552763819095645e+01,1.838119716632091727e-02
3.160804020100502854e+01,1.788872280170217266e-02
3.211055276381910062e+01,1.723754190874571268e-02
3.261306532663316915e+01,1.644706128732731365e-02
3.311557788944723768e+01,1.554026357924875867e-02
3.361809045226130621e+01,1.454314623990882183e-02
3.412060301507538185e+01,1.348408207916484969e-02
3.462311557788945038e+01,1.239311567125978009e-02
3.512562814070351891e+01,1.130121169249753699e-02
3.562814070351758744e+01,1.023947325954144283e-02
3.613065326633166308e+01,9.238349635866116571e-03
3.663316582914573161e+01,8.326853775351805709e-03
3.713567839195980014e+01,7.531810512612202579e-03
3.763819095477386867e+01,6.877156146847362983e-03
3.814070351758794430e+01,6.383309141176796153e-03
3.864321608040201284e+01,6.066630254917271259e-03
3.914572864321608137e+01,5.938987955154795273e-03
3.964824120603014990e+01,6.007442251419137236e-03
4.015075376884421843e+01,6.274056473282718649e-03
4.065326633165830117e+01,6.735842804120317773e-03
4.115577889447236259e+01,7.384843206944990968e-03
4.165829145728643823e+01,8.208343253311767285e-03
4.216080402010049966e+01,9.189212291668247268e-03
4.266331658291457529e+01,1.030635962064319067e-02
4.316582914572863672e+01,1.153529298051980678e-02
4.366834170854271946e+01,1.284876288819847279e-02
4.417085427135678088e+01,1.421747420539531959e-02
4.467336683417086363e+01,1.561084488051689423e-02
4.517587939698492505e+01,1.699779108546606299e-02
4.567839195979900069e+01,1.834751790349142819e-02
4.618090452261306211e+01,1.963029530615689744e-02
4.668341708542713775e+01,2.081820026164105109e-02
4.718592964824119917e+01,2.188580733789868837e-02
4.768844221105528192e+01,2.281081205926827060e-02
4.819095477386934334e+01,2.357457331767087716e-02
