J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
1.000000000000000056e-01,2.527766884696802663e-10,3.835820550079915847e-14,1.076916333886401844e-14,-2.553512956637860043e-15
3.518987341772151778e-01,3.874070375609051098e-08,7.732703366514215304e-13,1.723066134218242951e-13,1.720845688168992638e-15
6.037974683544302668e-01,3.357206797005574117e-07,5.328903984747057621e-12,1.012245842701986476e-12,2.574052082593425439e-13
8.556962025316453557e-01,1.353828033900938976e-06,2.196126613895899027e-11,4.024114375056342396e-12,1.285360706759774985e-12
1.107594936708860667e+00,3.798715476732716922e-06,6.159650567383323505e-11,1.127414828161477089e-11,3.353151090124129041e-12
1.359493670886075867e+00,8.617971996693896131e-06,1.387359671589649679e-10,2.478306448949751939e-11,7.550515768173227116e-12
1.611392405063290845e+00,1.699966429280497238e-05,2.727103542987663332e-10,4.795508434796147412e-11,1.509697922230657241e-11
1.863291139240506267e+00,3.037050007037578325e-05,4.863018321366041619e-10,8.479400515071233713e-11,2.746630700656282897e-11
2.115189873417721245e+00,5.039360572922646497e-05,8.055758837777204917e-10,1.399309002003690239e-10,4.538314168911483648e-11
2.367088607594936001e+00,7.896591504241712300e-05,1.261355409010178619e-09,2.149970756981645081e-10,7.117118006050304757e-11
2.618987341772151645e+00,1.182151653335017372e-04,1.887724920823785624e-09,3.222048738926730493e-10,1.070410426962098427e-10
2.870886075949366401e+00,1.704964937871977781e-04,2.722556791123764697e-09,4.656529606350545691e-10,1.543945526982781757e-10
3.122784810126581601e+00,2.383886261675405294e-04,3.808164561469595810e-09,6.519769724100399344e-10,2.167956369980572617e-10
3.374683544303796801e+00,3.246896555191280953e-04,5.189136564887064651e-09,8.894831537986647163e-10,2.959266165447616004e-10
3.626582278481012445e+00,4.324124009109642230e-04,6.914193939611124051e-09,1.186763964877712851e-09,3.952222438208252697e-10
3.878481012658227645e+00,5.647793371117426631e-04,9.036314141397383537e-09,1.552746042854380448e-09,5.170822103828243144e-10
4.130379746835441956e+00,7.252170945853952944e-04,1.161085927403604501e-08,1.997602416814459048e-09,6.660187401585915268e-10
4.382278481012656712e+00,9.173505163702078136e-04,1.469853894153771989e-08,2.532232923346811049e-09,8.455161570886104982e-10
4.634177215189872356e+00,1.144996269543119283e-03,1.836242219388495300e-08,3.167489215361030119e-09,1.058489573768639502e-09
4.886075949367087112e+00,1.412156000107911424e-03,2.266926352190168359e-08,3.915383128827443215e-09,1.310179464919514203e-09
5.137974683544302756e+00,1.723009081631809991e-03,2.769001977709351081e-08,4.789252106007779730e-09,1.604072930039279754e-09
5.389873417721517512e+00,2.081904649380184047e-03,3.349896782189887290e-08,5.801895353041430781e-09,1.946120598006473301e-09
5.641772151898734045e+00,2.493353642390117031e-03,4.017346394435961088e-08,6.967774357491407500e-09,2.340191762595367209e-09
5.893670886075947912e+00,2.962019934716009217e-03,4.779667345244931198e-08,8.302196985443544008e-09,2.792047149036136489e-09
6.145569620253162668e+00,3.492711139942650256e-03,5.645318063018933685e-08,9.826360336528949802e-09,3.307206786207217419e-09
6.397468354430378312e+00,4.090368917323616849e-03,6.623653536763640659e-08,1.154220058419141992e-08,3.890921251858969754e-09
6.649367088607592180e+00,4.760059105633374088e-03,7.723687422966918348e-08,1.347679462471162992e-08,4.549976673207112299e-09
6.901265822784809600e+00,5.506960664422910767e-03,8.955472496907646018e-08,1.564861418223983947e-08,5.291169724586097800e-09
7.153164556962023468e+00,6.336354860090986918e-03,1.032920674548520878e-07,1.807232125061730699e-08,6.120902174000519835e-09
7.405063291139240000e+00,7.253613643528389332e-03,1.185579703855133005e-07,2.077402894151703094e-08,7.047010031069333991e-09
7.656962025316453868e+00,8.264187608890360970e-03,1.354643265893962223e-07,2.376422220118357131e-08,8.073129054153582729e-09
7.908860759493668624e+00,9.373593525116019620e-03,1.541303971674956586e-07,2.707629348508433509e-08,9.211852058932379350e-09
8.160759493670884268e+00,1.058740138870850611e-02,1.746781541633879442e-07,3.072469995091253736e-08,1.047084807748177582e-08
8.412658227848099912e+00,1.191122107224340532e-02,1.972413272710582532e-07,3.473164444933729555e-08,1.185869230591052315e-08
8.664556962025313780e+00,1.335068852514120774e-02,2.219539478320875503e-07,3.912475976530771504e-08,1.338038757570103598e-08
8.916455696202529424e+00,1.491145163684637343e-02,2.489588177279067338e-07,4.393485664166973947e-08,1.504593716283864069e-08
9.168354430379745068e+00,1.659915562329705718e-02,2.784103718123098758e-07,4.918383383900604144e-08,1.687032769037699609e-08
9.420253164556960712e+00,1.841942812359320669e-02,3.104665302622322542e-07,5.489989074458634377e-08,1.885937628287592815e-08
9.672151898734174580e+00,2.037786392724105777e-02,3.452947420212737484e-07,6.110900352407355740e-08,2.102611329490855496e-08
9.924050632911390224e+00,2.248000940735472852e-02,3.830738748988871123e-07,6.784402706294656582e-08,2.338553856118252838e-08
1.017594936708860587e+01,2.473134667791732078e-02,4.239908578118622984e-07,7.513553124116612025e-08,2.594239062458925105e-08
1.042784810126581974e+01,2.713727745751481901e-02,4.682475685524600806e-07,8.301680093358854151e-08,2.871059345821436182e-08
1.067974683544303538e+01,2.970310676776877212e-02,5.160539400250740982e-07,9.152629293351921547e-08,3.169861384488825706e-08
1.093164556962025102e+01,3.243402641126880148e-02,5.676357747175231339e-07,1.006953887494610456e-07,3.492881800459812780e-08
1.118354430379746667e+01,3.533509833488179819e-02,6.232309643361411133e-07,1.105658387068331194e-07,3.840863033177654984e-08
1.143544303797468231e+01,3.841123787376798937e-02,6.830945601388194177e-07,1.211772432396784893e-07,4.215404397767130718e-08
1.168734177215189618e+01,4.166719695292930847e-02,7.474980402988329331e-07,1.325661924123089364e-07,4.618148119472920143e-08
1.193924050632911182e+01,4.510754725699006595e-02,8.167303536810166520e-07,1.447898074213860298e-07,5.050420620600348798e-08
1.219113924050632569e+01,4.873666341741933472e-02,8.910997990052571538e-07,1.578795481016470603e-07,5.514076856227845269e-08
1.244303797468354134e+01,5.255870636890525027e-02,9.709361162846263937e-07,1.718875696221644489e-07,6.010984154869447593e-08
1.269493670886075698e+01,5.657760667638223051e-02,1.056591013903762644e-06,1.868696745122022662e-07,6.542618091742724573e-08
1.294683544303797440e+01,6.079704826343035329e-02,1.148442854592701678e-06,2.028758259720042645e-07,7.111116051561339191e-08
1.319873417721518827e+01,6.522045213796268115e-02,1.246893367057300139e-06,2.199540720115855663e-07,7.717760153180819316e-08
1.345063291139240214e+01,6.985096061711415505e-02,1.352374974838976840e-06,2.381786390337481407e-07,8.365590264958200351e-08
1.370253164556961778e+01,7.469142178879373262e-02,1.465348268503419149e-06,2.576015343258575285e-07,9.056261063289383628e-08
1.395443037974683165e+01,7.974437442665194276e-02,1.586308546241976813e-06,2.782863418593350957e-07,9.791760408051075615e-08
1.420632911392404552e+01,8.501203329628626015e-02,1.715785525047142102e-06,3.003028704040566765e-07,1.057473782428708375e-07
1.445822784810126294e+01,9.049627513350455565e-02,1.854345845042626451e-06,3.237318034199354599e-07,1.140772097341091751e-07
1.471012658227847858e+01,9.619862502235643209e-02,2.002595916816840571e-06,3.486344103964533758e-07,1.229245105704990237e-07
1.496202531645569245e+01,1.021202435457635449e-01,2.161185511773133783e-06,3.750987316863962917e-07,1.323292693200528447e-07
1.521392405063290632e+01,1.082619145470165023e-01,2.330810615625011906e-06,4.032084793270662715e-07,1.423051907423200646e-07
1.546582278481012374e+01,1.146240337195028047e-01,2.512212422423054647e-06,4.330535495200571461e-07,1.528895824387532798e-07
1.571772151898734116e+01,1.212065979377483504e-01,2.706190941448305409e-06,4.647211304664722320e-07,1.641096137316999659e-07
1.596962025316455680e+01,1.280091954912097041e-01,2.913594148723497312e-06,4.983139476610887186e-07,1.759938346168610224e-07
1.622151898734177067e+01,1.350309972012798676e-01,3.135334206705309157e-06,5.339386445757376976e-07,1.885829067349575894e-07
1.647341772151898454e+01,1.422707486492875706e-01,3.372382748056956814e-06,5.716988822901392098e-07,2.019107997464075765e-07
1.672531645569620196e+01,1.497267631019379985e-01,3.625777125260132294e-06,6.117085606383021457e-07,2.159988600758389055e-07
1.697721518987341582e+01,1.573969159040821131e-01,3.896626425969884622e-06,6.540906364316256827e-07,2.308998792166505609e-07
1.722911392405062969e+01,1.652786397524824702e-01,4.186113084947429286e-06,6.989789108069466295e-07,2.466436039294528371e-07
1.748101265822784356e+01,1.733689210573576833e-01,4.495498545864506923e-06,7.465054487898470370e-07,2.632758664966594608e-07
