t,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
2.000000000000000000e+01,1.547074043211082994e-03,2.484584876727424785e-08,4.294394617687657956e-09,1.437724883590618674e-09
4.000000000000000000e+01,6.173345817770403698e-03,9.938097200734574699e-08,1.717873543416459370e-08,5.753265863717160755e-09
6.000000000000000000e+01,1.383416089260902648e-02,2.236060292482022760e-07,3.865345415965393272e-08,1.294613544144951334e-08
8.000000000000000000e+01,2.445574714241482983e-02,3.975221627428027205e-07,6.871853663881211105e-08,2.301635593227047138e-08
1.000000000000000000e+02,3.793618260695552635e-02,6.211288375856938160e-07,1.073739941959139799e-07,3.596391756621741820e-08
1.200000000000000000e+02,5.414673037282580204e-02,8.944252020137710701e-07,1.546198384883012977e-07,5.178879580736150956e-08
1.400000000000000000e+02,7.293352080580461916e-02,1.217411565723747202e-06,2.104560610227679263e-07,7.049103784018129204e-08
1.600000000000000000e+02,9.411955630638968451e-02,1.590087853331478840e-06,2.748826535281523320e-07,9.207058082605357185e-08
1.800000000000000000e+02,1.175070090502021714e-01,2.012453914068679239e-06,3.478995919126148806e-07,1.165274569059349119e-07
2.000000000000000000e+02,1.428797778730290791e-01,2.484509983358140772e-06,4.295068949389246882e-07,1.438616195059694292e-07
2.200000000000000000e+02,1.700062666815751466e-01,3.006255573201332965e-06,5.197045779836706458e-07,1.740731694899189108e-07
2.400000000000000000e+02,1.986423436802911002e-01,3.577691180645103941e-06,6.184926351071595718e-07,2.071620434640486508e-07
2.600000000000000000e+02,2.285344379833718076e-01,4.198815882150430667e-06,7.258710262303402772e-07,2.431282488113417628e-07
2.800000000000000000e+02,2.594227283498897751e-01,4.869630414183756528e-06,8.418397804410560070e-07,2.819719080449090143e-07
3.000000000000000000e+02,2.910443777302235135e-01,5.590134320498929554e-06,9.663988910224574624e-07,3.236927391681021504e-07
3.200000000000000000e+02,3.231367662654324180e-01,6.360327357679551596e-06,1.099548350258494622e-06,3.682910500457658998e-07
3.400000000000000000e+02,3.554406764960442722e-01,7.180209954438243614e-06,1.241288148712271777e-06,4.157666129711579117e-07
3.600000000000000000e+02,3.877033844390166406e-01,8.049779197383255536e-06,1.391618294765972763e-06,4.661194346056163340e-07
3.800000000000000000e+02,4.196816124629412226e-01,8.969039379969068193e-06,1.550538769823361918e-06,5.193496315225587523e-07
4.000000000000000000e+02,4.511443021399970110e-01,9.937988017072463265e-06,1.718049574439550753e-06,5.754571564264843175e-07
