t,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
20.0,0.0009673913417235225,1.5527410357485394e-08,2.6844360068167816e-09,8.991452027373725e-10
40.0,0.003865820987542179,6.211130099131879e-08,1.073823063801882e-08,3.596645814507582e-09
60.0,0.008684073801545122,1.397520699164545e-07,2.4159715728000464e-08,8.092892245237238e-09
80.0,0.015403505102855042,2.4844940055279707e-07,4.295508049256824e-08,1.4386857816184317e-08
100.0,0.023998113668224574,3.8820236414327525e-07,6.71111956007664e-08,2.2479511196937807e-08
120.0,0.034434640845472764,5.590074853012439e-07,9.664445194124127e-08,3.23759761222675e-08
140.0,0.04667270398210588,7.608723529561878e-07,1.3154980244012293e-07,4.405754339131818e-08
160.0,0.060664946270537756,9.937941206628054e-07,1.718072052958597e-07,5.754764359489073e-08
180.0,0.07635722360244457,1.2577714915140703e-06,2.1744952971580744e-07,7.283189723539252e-08
200.0,0.09368881380203975,1.5528059182923215e-06,2.6845113454410097e-07,8.991843108985265e-08
220.0,0.11259264947892467,1.8788966391625195e-06,3.248264546229507e-07,1.0880121403822329e-07
240.0,0.1329955868881062,2.236044753745059e-06,3.865604967234759e-07,1.2950044508963643e-07
260.0,0.1548186013789392,2.6242454233549317e-06,4.5367425188791444e-07,1.5196358571500923e-07
280.0,0.17797730733907802,3.043504186284185e-06,5.261558060909444e-07,1.7624314785358308e-07
300.0,0.20238209287405307,3.493822516464906e-06,6.040086281133838e-07,2.0232129066544147e-07
320.0,0.22793847128207623,3.975195061789449e-06,6.872224391218928e-07,2.301870800636152e-07
340.0,0.2545476377390521,4.487620699267225e-06,7.758278443570354e-07,2.5984997581440794e-07
360.0,0.28210658746248507,5.031104276909115e-06,8.697917887046103e-07,2.9135581169903446e-07
380.0,0.31050889061749176,5.605643166983754e-06,9.690889864466534e-07,3.2463491267398226e-07
400.0,0.33964287907603363,6.211238822828591e-06,1.0738018303424468e-06,3.5967279499171667e-07
