J,idle_infid_CD,idle_infid_DD
1.000000000000000056e-01,6.177136313567643811e-08,5.801205316124935507e-08
3.518987341772151778e-01,8.049786593966601345e-07,7.568864848206402485e-07
6.037974683544302668e-01,2.619184755636716488e-06,2.238149662714405963e-06
8.556962025316453557e-01,6.024625582967679804e-06,4.497663572466947812e-06
1.107594936708860667e+00,1.181474430755891092e-05,7.548241506283304147e-06
1.359493670886075867e+00,2.105489128145787703e-05,1.139120724358289038e-05
1.611392405063290845e+00,3.508057015788601518e-05,1.602360199015606668e-05
1.863291139240506267e+00,5.549522825598618425e-05,2.145320718371923618e-05
2.115189873417721245e+00,8.416758373219757061e-05,2.768816529852280439e-05
2.367088607594936001e+00,1.232284835290808900e-04,3.474073394404975090e-05
2.618987341772151645e+00,1.750672887578241799e-04,4.260861709393104491e-05
2.870886075949366401e+00,2.423277778843546670e-04,5.130345903392452556e-05
3.122784810126581601e+00,3.279035587949730157e-04,6.084762820179889786e-05
3.374683544303796801e+00,4.349329861380590856e-04,7.122886665877903312e-05
3.626582278481012445e+00,5.667935717464933632e-04,8.248275070488197969e-05
3.878481012658227645e+00,7.270958781070424592e-04,9.460172726816207245e-05
4.130379746835441956e+00,9.196768927335341459e-04,1.076170299183498713e-04
4.382278481012656712e+00,1.148592868311704152e-03,1.215360792808928281e-04
4.634177215189872356e+00,1.418111625582363367e-03,1.363707960131410601e-04
4.886075949367087112e+00,1.732704306172672126e-03,1.521458342412795872e-04
5.137974683544302756e+00,2.097036629155057952e-03,1.688762858339520889e-04
5.389873417721517512e+00,2.515959319567828700e-03,1.865739116221343252e-04
5.641772151898734045e+00,2.994498488731567321e-03,2.052753874588475469e-04
5.893670886075947912e+00,3.537844971904569036e-03,2.249885621484759568e-04
6.145569620253162668e+00,4.151343257530415443e-03,2.457361017628167943e-04
6.397468354430378312e+00,4.840479823784327174e-03,2.675475484643641266e-04
6.649367088607592180e+00,5.610871236936709749e-03,2.904290354038829847e-04
6.901265822784809600e+00,6.468250909611561461e-03,3.144444885840869119e-04
7.153164556962023468e+00,7.418456071257351070e-03,3.396035101562722147e-04
7.405063291139240000e+00,8.467413819883917725e-03,3.659224190473153726e-04
7.656962025316453868e+00,9.621126679467240095e-03,3.934398208300660116e-04
7.908860759493668624e+00,1.088565765222804238e-02,4.221832487083521102e-04
8.160759493670884268e+00,1.226711472226982291e-02,4.521977853595426922e-04
