t,idle_infid_CD,idle_infid_DD
2.062500000000000000e+01,1.891030306422125662e-03,1.595959133121604978e-04
4.062500000000000000e+01,6.704801616742583903e-03,1.774347888762184411e-04
6.062500000000000000e+01,1.454856282261185463e-02,2.072526316382328204e-04
8.062500000000000000e+01,2.534679812133544541e-02,2.490341541985241491e-04
1.006250000000000000e+02,3.899592307991173179e-02,3.027384407927602439e-04
1.206250000000000000e+02,5.536564108583552635e-02,3.684303387604392910e-04
1.406250000000000000e+02,7.430064564083038725e-02,4.460432258994728727e-04
1.606250000000000000e+02,9.562264337090975452e-02,5.356279075385828037e-04
1.806250000000000000e+02,1.191326679480277928e-01,6.371798176246779022e-04
2.006250000000000000e+02,1.446136508513656826e-01,7.506925721806334550e-04
2.206250000000000000e+02,1.718332111424480946e-01,8.761065816524915562e-04
2.406250000000000000e+02,2.005466233964741107e-01,1.013474467824737602e-03
2.606250000000000000e+02,2.304999201962770750e-01,1.162755500461187808e-03
2.806250000000000000e+02,2.614330840066063644e-01,1.323923875746202405e-03
3.006250000000000000e+02,2.930832816312415323e-01,1.497077755171494218e-03
3.206250000000000000e+02,3.251880947539445010e-01,1.682133564255061664e-03
3.406250000000000000e+02,3.574886992704435773e-01,1.879080033783120385e-03
3.606250000000000000e+02,3.897329481680738006e-01,2.087869040069079141e-03
3.806250000000000000e+02,4.216783134365469365e-01,2.308585143376840065e-03
4.006250000000000000e+02,4.530946454817581515e-01,2.541233859751024227e-03
