J,X1_infid_CD,X1_infid_DD
1.000000000000000056e-01,6.777063688678808262e-06,2.961235947340767893e-06
3.518987341772151778e-01,8.395595147536738523e-05,3.678519630656573725e-05
6.037974683544302668e-01,2.472456635033148942e-04,1.083195932931602101e-04
8.556962025316453557e-01,4.967735252032756676e-04,2.175591436135437817e-04
1.107594936708860667e+00,8.327244205272865685e-04,3.644730510007354596e-04
1.359493670886075867e+00,1.255364793424695868e-03,5.490626471033044353e-04
1.611392405063290845e+00,1.765021068233729729e-03,7.713041614364479770e-04
1.863291139240506267e+00,2.362085737440011712e-03,1.031170789217106254e-03
2.115189873417721245e+00,3.047012944686122715e-03,1.328652392653117964e-03
2.367088607594936001e+00,3.820320809230670633e-03,1.663684079344029954e-03
2.618987341772151645e+00,4.682587636889223859e-03,2.036281920809179802e-03
2.870886075949366401e+00,5.634451127301098872e-03,2.446366686313039551e-03
3.122784810126581601e+00,6.676606431564424682e-03,2.893906207553698096e-03
3.374683544303796801e+00,7.809803481245936041e-03,3.378854059950753275e-03
3.626582278481012445e+00,9.034847618038854833e-03,3.901160621690324959e-03
3.878481012658227645e+00,1.035259488064743660e-02,4.460777201302335015e-03
4.130379746835441956e+00,1.176394584320838987e-02,5.057634591603465957e-03
4.382278481012656712e+00,1.326985166417027351e-02,5.691681545885174387e-03
4.634177215189872356e+00,1.487130420629156902e-02,6.362850771593264732e-03
4.886075949367087112e+00,1.656933551662265192e-02,7.071066579138141073e-03
5.137974683544302756e+00,1.836501517032418374e-02,7.816259542916759173e-03
5.389873417721517512e+00,2.025944524772405053e-02,8.598352629784478118e-03
5.641772151898734045e+00,2.225375905726811876e-02,9.417257270089018917e-03
5.893670886075947912e+00,2.434911561257280255e-02,1.027288734314735219e-02
6.145569620253162668e+00,2.654669555229749456e-02,1.116517871182676203e-02
6.397468354430378312e+00,2.884769717396518107e-02,1.209401394563136556e-02
6.649367088607592180e+00,3.125334234833077041e-02,1.305929875351252711e-02
6.901265822784809600e+00,3.376484989714112483e-02,1.406093399951036105e-02
7.153164556962023468e+00,3.638345852231983368e-02,1.509881818800862252e-02
7.405063291139240000e+00,3.911039778508329512e-02,1.617284701406662695e-02
7.656962025316453868e+00,4.194690229263464687e-02,1.728289447551722979e-02
7.908860759493668624e+00,4.489419214318302043e-02,1.842885850652786761e-02
8.160759493670884268e+00,4.795348607642291316e-02,1.961060758927080094e-02
8.412658227848099912e+00,5.112597491425174834e-02,2.082803524911935877e-02
8.664556962025313780e+00,5.441283769947524718e-02,2.208098973902328233e-02
8.916455696202529424e+00,5.781522126614080381e-02,2.336936040153791971e-02
9.168354430379745068e+00,6.133424351739535929e-02,2.469300475161628761e-02
9.420253164556960712e+00,6.497098501089015876e-02,2.605178192564849837e-02
9.672151898734174580e+00,6.872648553421889517e-02,2.744555494728850853e-02
9.924050632911390224e+00,7.260173890763144122e-02,2.887416371217843558e-02
1.017594936708860587e+01,7.659768641931563593e-02,3.033747197436631460e-02
1.042784810126581974e+01,8.071521170913764642e-02,3.183531754707524808e-02
1.067974683544303538e+01,8.495513895436912488e-02,3.336755615324360491e-02
1.093164556962025102e+01,8.931822362783992109e-02,3.493400515666034156e-02
1.118354430379746667e+01,9.380514924125071818e-02,3.653451527273221533e-02
1.143544303797468231e+01,9.841652225993891001e-02,3.816891782498288421e-02
1.168734177215189618e+01,1.031528668134938931e-01,3.983703133481308889e-02
1.193924050632911182e+01,1.080146199996512291e-01,4.153868305239549752e-02
1.219113924050632569e+01,1.130021255442958950e-01,4.327369478889475651e-02
1.244303797468354134e+01,1.181156310096731499e-01,4.504187878814536194e-02
1.269493670886075698e+01,1.233552815989401585e-01,4.684305918305253780e-02
1.294683544303797440e+01,1.287211171689783828e-01,4.867701985422756561e-02
1.319873417721518827e+01,1.342130652206540153e-01,5.054359616591352911e-02
1.345063291139240214e+01,1.398309383670379713e-01,5.244257026069987226e-02
1.370253164556961778e+01,1.455744280853863426e-01,5.437374918609572116e-02
1.395443037974683165e+01,1.514431041865005323e-01,5.633692572220427852e-02
1.420632911392404552e+01,1.574364083218042776e-01,5.833189028191898551e-02
1.445822784810126294e+01,1.635536461003935793e-01,6.035842587372108881e-02
1.471012658227847858e+01,1.697939936714426556e-01,6.241632619035475393e-02
1.496202531645569245e+01,1.761564864769449290e-01,6.450536202296430766e-02
1.521392405063290632e+01,1.826400179939113855e-01,6.662532630122830479e-02
1.546582278481012374e+01,1.892433353385030159e-01,6.877597620893638464e-02
1.571772151898734116e+01,1.959650411707591910e-01,7.095708909696052391e-02
1.596962025316455680e+01,2.028035853685892231e-01,7.316842813431845283e-02
1.622151898734177067e+01,2.097572663591520392e-01,7.540975913173186829e-02
1.647341772151898454e+01,2.168242317585582501e-01,7.768084408343300939e-02
1.672531645569620196e+01,2.240024677822811672e-01,7.998143528620604847e-02
1.697721518987341582e+01,2.312898086348520454e-01,8.231129514300050687e-02
1.722911392405062969e+01,2.386839269925429274e-01,8.467016588232179064e-02
1.748101265822784356e+01,2.461823367633044768e-01,8.705779690815051985e-02
1.773291139240506098e+01,2.537824011559094428e-01,8.947392815128019095e-02
1.798481012658227840e+01,2.614813060858637295e-01,9.191830327011873969e-02
1.823670886075949227e+01,2.692760967893437218e-01,9.439066198222290094e-02
1.848860759493670614e+01,2.771636485243449410e-01,9.689074055407509434e-02
1.874050632911392356e+01,2.851406856817568780e-01,9.941826405271714240e-02
1.899240506329113742e+01,2.932037733198290530e-01,1.019729611656046142e-01
1.924430379746835129e+01,3.013493181621915706e-01,1.045545569553743004e-01
1.949620253164556871e+01,3.095735849241257887e-01,1.071627833195968327e-01
1.974810126582278258e+01,3.178726772137904222e-01,1.097973492127171102e-01
2.000000000000000000e+01,3.262425583204138224e-01,1.124579729944255035e-01
