t,X1_infid_CD,X1_infid_DD
2.062500000000000000e+01,1.736929177318680129e-02,7.403514999255067508e-03
6.062500000000000000e+01,2.517710437160169956e-02,7.463932237587345142e-03
1.006250000000000000e+02,4.052382890739791854e-02,7.584850780809615500e-03
1.406250000000000000e+02,6.308709151184888064e-02,7.766228703989574988e-03
1.806250000000000000e+02,9.239412879046648985e-02,8.008071651546933012e-03
2.206250000000000000e+02,1.278331933825007649e-01,8.310299910179175242e-03
2.606250000000000000e+02,1.686681649175852948e-01,8.672871527702241679e-03
3.006250000000000000e+02,2.140562277351910625e-01,9.095766952367134728e-03
3.406250000000000000e+02,2.630678909499780671e-01,9.578806984792409551e-03
3.806250000000000000e+02,3.147090076918390711e-01,1.012196942386656140e-02
4.206250000000000000e+02,3.679442350193991018e-01,1.072516370759790671e-02
