J,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
1.000000000000000056e-01,4.900673755692253053e-09,2.886024752513094427e-13,2.969846590872293746e-14,2.331468351712828735e-15
3.518987341772151778e-01,7.510557608059187373e-07,1.295891172148344594e-11,2.531030940389200623e-12,4.664046926450282626e-13
6.037974683544302668e-01,6.503819475867089750e-06,1.052863907169410140e-10,1.855687825624841025e-11,5.429601213080559319e-12
8.556962025316453557e-01,2.619827778260752638e-05,4.225651495382010125e-10,7.344713726098461848e-11,2.290639899982238603e-11
1.107594936708860667e+00,7.340008496836691876e-05,1.177692388054651929e-09,2.032684021102681982e-10,6.622946635559401329e-11
1.359493670886075867e+00,1.662054152826719644e-04,2.662366382910619222e-09,4.627200844709022931e-10,1.507340363637865721e-10
1.611392405063290845e+00,3.271056588852738756e-04,5.239073064267074642e-09,8.972718679167712708e-10,2.984325564447942725e-10
1.863291139240506267e+00,5.828163105763284335e-04,9.341627416059594680e-09,1.614024969232019657e-09,5.337248421000140297e-10
2.115189873417721245e+00,9.640694685149053811e-04,1.547471806251365933e-08,2.678416821666473879e-09,8.900198356087685170e-10
2.367088607594936001e+00,1.505369385861321518e-03,2.420686734394550399e-08,4.204746051339469659e-09,1.400661031603078754e-09
2.618987341772151645e+00,2.244710672013039421e-03,3.619943572674699794e-08,6.295440835302201776e-09,2.107156782393815320e-09
2.870886075949366401e+00,3.223258839085918481e-03,5.216219750581174708e-08,9.098166386944939177e-09,3.055556918596380456e-09
3.122784810126581601e+00,4.484993281234417317e-03,7.291101045137082792e-08,1.273019628600380315e-08,4.298924716206187213e-09
3.374683544303796801e+00,6.076313088290485886e-03,9.932977523829933375e-08,1.737425286973959260e-08,5.888695475686489544e-09
3.626582278481012445e+00,8.045606550599049278e-03,1.324034689664799203e-07,2.322115721931083954e-08,7.897650422528101899e-09
3.878481012658227645e+00,1.044278570922740901e-02,1.732271910914739976e-07,3.045374141752432706e-08,1.039301633642963907e-08
4.130379746835441956e+00,1.331878802789920879e-02,2.230249361301339661e-07,3.928803687935911171e-08,1.345337113933808837e-08
4.382278481012656712e+00,1.672504771629668152e-02,2.831706976125225594e-07,4.996397595657953161e-08,1.716580794175470714e-08
4.634177215189872356e+00,2.071294004000701072e-02,3.552163259090690417e-07,6.274135216921550295e-08,2.162521806070571984e-08
4.886075949367087112e+00,2.533320285111917425e-02,4.409259089510619845e-07,7.791205614005036750e-08,2.693893685901116442e-08
5.137974683544302756e+00,3.063533988974431743e-02,5.423192382947306101e-07,9.579596582653948644e-08,3.322007946504612619e-08
5.389873417721517512e+00,3.666701152277096476e-02,6.617136498743292350e-07,1.167458368311891093e-07,4.059623126551059613e-08
5.641772151898734045e+00,4.347341891116440760e-02,8.017877399235651126e-07,1.411832112330202449e-07,4.920519136586420927e-08
5.893670886075947912e+00,5.109668861508098736e-02,9.656408199720800667e-07,1.695326825590370845e-07,5.921105628026168688e-08
6.145569620253162668e+00,5.957526489554310078e-02,1.156892246667595714e-06,2.022671832802025449e-07,7.077583297210310320e-08
6.397468354430378312e+00,6.894331733228353798e-02,1.379716356997295890e-06,2.399297288069313083e-07,8.408273038940095034e-08
