t,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
2.000000000000000000e+01,2.764378954945290179e-02,4.847083892589587606e-07,8.564430964419500469e-08,2.965062539939111730e-08
4.000000000000000000e+01,1.058967245490528564e-01,1.938783209864958224e-06,3.425834142478656474e-07,1.186153213428298159e-07
6.000000000000000000e+01,2.219541438656307264e-01,4.362242747191213965e-06,7.708204339818003348e-07,2.668966715968501546e-07
8.000000000000000000e+01,3.581622612191619481e-01,7.755077765181361826e-06,1.370355154572955314e-06,4.744926653810210837e-07
1.000000000000000000e+02,4.962587597684896545e-01,1.211727622191238751e-05,2.141188946369609880e-06,7.414007600625716066e-07
1.200000000000000000e+02,6.212418518148279389e-01,1.744882365739552910e-05,3.083315926799556905e-06,1.067626697603962782e-06
1.400000000000000000e+02,7.237767441620601705e-01,2.374970152480004870e-05,4.196740946593724431e-06,1.453168034848406620e-06
1.600000000000000000e+02,8.006647060499967328e-01,3.101988758275053826e-05,5.481461405054677272e-06,1.898024512392293417e-06
1.800000000000000000e+02,8.536209204483922175e-01,3.925935671955649298e-05,6.937476373425344178e-06,2.402196008555179674e-06
2.000000000000000000e+02,8.871416258955485690e-01,4.846808032765714813e-05,8.564785069165026243e-06,2.965682240729794472e-06
2.200000000000000000e+02,9.063984921701491171e-01,5.864602617300374021e-05,1.036338616094978349e-05,3.588483139860265680e-06
2.400000000000000000e+02,9.158637906457334221e-01,6.979315922306383868e-05,1.233327856142718559e-05,4.270598644051659676e-06
2.600000000000000000e+02,9.188965544473457481e-01,8.190944175517911319e-05,1.447446090685478026e-05,5.012028485351649465e-06
2.800000000000000000e+02,9.180464999238390211e-01,9.499482904851141996e-05,1.678693192208591256e-05,5.812784093006673203e-06
3.000000000000000000e+02,9.155693935153816909e-01,1.090492767990558498e-04,1.927069008750281753e-05,6.672842565447201224e-06
3.200000000000000000e+02,9.136835778582492740e-01,1.240727364058002991e-04,2.192573376902373639e-05,7.592214597229585138e-06
3.400000000000000000e+02,9.143699739123086756e-01,1.400651554319676251e-04,2.475206107277472256e-05,8.570899823368005599e-06
3.600000000000000000e+02,9.188568819430512624e-01,1.570264780837438146e-04,2.774967030999553330e-05,9.608898076607363947e-06
3.800000000000000000e+02,9.271504337611751190e-01,1.749566452313722209e-04,3.091855958747835587e-05,1.070619914023129837e-05
4.000000000000000000e+02,9.379631850688971983e-01,1.938555946607856129e-04,3.425872651852124307e-05,1.186282161147467207e-05
