t,idle_infid_CD,idle_infid_N_4,idle_infid_N_6,idle_infid_N_8
20.0,0.014356939803927049,2.499185381421576e-07,4.416297016973658e-08,1.5294452093694844e-08
40.0,0.05618123769156669,9.996789219202107e-07,1.766612081066654e-07,6.117519157911033e-08
60.0,0.12187146282473815,2.249299070444799e-06,3.974468826273281e-07,1.3765531825526978e-07
80.0,0.20586820096937652,3.998753465406235e-06,7.066353345797083e-07,2.4473962406679206e-07
100.0,0.30126286468115093,6.248005876507978e-06,1.1040814372753616e-06,3.8239711785958974e-07
120.0,0.4005459291977599,8.99709834301099e-06,1.589950696156972e-06,5.50543845789786e-07
140.0,0.4964065579232343,1.2246072089605597e-05,2.164113762526121e-06,7.494747616410002e-07
160.0,0.5824885733929162,1.5994819993647713e-05,2.8264961993706983e-06,9.78898194947675e-07
180.0,0.654016311636695,2.0243332705505157e-05,3.577238907093161e-06,1.238838207628934e-06
200.0,0.7082186013654649,2.4991635681315127e-05,4.416213366220667e-06,1.5294546322208724e-06
220.0,0.7445051275096022,3.0239770083317907e-05,5.3436925732675e-06,1.8505572748628296e-06
240.0,0.7643807602699222,3.598761810374995e-05,6.359403241062989e-06,2.202227665559775e-06
260.0,0.7711140652315612,4.2235264196277544e-05,7.463383919270594e-06,2.5847012683488657e-06
280.0,0.7692072921348145,4.89827886670513e-05,8.655684118841211e-06,2.9974735474835867e-06
300.0,0.7637381760961882,5.6229862110179774e-05,9.936412379007997e-06,3.4409078854547026e-06
320.0,0.7596581174333813,6.397663097329476e-05,1.1305476162126737e-05,3.915251818475962e-06
340.0,0.7611355741677541,7.22235787302683e-05,1.2762648734621074e-05,4.420156002826747e-06
360.0,0.7710262570968693,8.09700000850011e-05,1.4308543778707161e-05,4.955321483479658e-06
380.0,0.7905335201752197,9.021603065967332e-05,1.594283601380475e-05,5.521089995796924e-06
400.0,0.819097901410197,9.996137772938507e-05,1.766479384662789e-05,6.117678404748972e-06
