J,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
1.000000000000000056e-01,5.032148879047237955e-05,7.028632076355734171e-08,1.346590938755554134e-08,4.021236899021118916e-09
3.518987341772151778e-01,6.228536350453284243e-04,8.710237316966740195e-07,1.668774322061139515e-07,4.983157619875555611e-08
6.037974683544302668e-01,1.831955479004054865e-03,2.568502767696934086e-06,4.920942433539465810e-07,1.469458241754040273e-07
8.556962025316453557e-01,3.673950861280750324e-03,5.171404171888660528e-06,9.907840234912868027e-07,2.958616731607577321e-07
1.107594936708860667e+00,6.143257031980819960e-03,8.692991368408620190e-06,1.665494977931558651e-06,4.973398152197106015e-07
1.359493670886075867e+00,9.232421359390508009e-03,1.315111621491560356e-05,2.519657941402186907e-06,7.524051361951222816e-07
1.611392405063290845e+00,1.293217110181754670e-02,1.856821796741847663e-05,3.557588811542444773e-06,1.062347801394913915e-06
1.863291139240506267e+00,1.723147518245005116e-02,2.497137252810421870e-05,4.784492215414992700e-06,1.428724827778893314e-06
2.115189873417721245e+00,2.211761695926361959e-02,3.239225138107482138e-05,6.206464794988875155e-06,1.853360022230354787e-06
2.367088607594936001e+00,2.757627772951087852e-02,4.086717465023870233e-05,7.830500429628628467e-06,2.338318443984022110e-06
2.618987341772151645e+00,3.359163007475063356e-02,5.043710619345720403e-05,9.664495124628302847e-06,2.886009756841723117e-06
2.870886075949366401e+00,4.014643958895725007e-02,6.114769719023360750e-05,1.171723373816213609e-05,3.499031760001436453e-06
3.122784810126581601e+00,4.722217476804291270e-02,7.304928927209797251e-05,1.399846989957875820e-05,4.180302738188146350e-06
3.374683544303796801e+00,5.479912408359288722e-02,8.619694807476818710e-05,1.651882885556066327e-05,4.932976216842632766e-06
3.626582278481012445e+00,6.285651812587955689e-02,1.006505106008193096e-04,1.928988104904494350e-05,5.760577337365901940e-06
3.878481012658227645e+00,7.137265643141976756e-02,1.164745061084104805e-04,2.232413449676506900e-05,6.666825324352920745e-06
4.130379746835441956e+00,8.032503804161450489e-02,1.337383503968725407e-04,2.563504201946731342e-05,7.655761584679510179e-06
4.382278481012656712e+00,8.969049513175586519e-02,1.525162685072078972e-04,2.923702621293600146e-05,8.731712741072428230e-06
4.634177215189872356e+00,9.944532525549298896e-02,1.728873544065701040e-04,3.314544875898661758e-05,9.899288249792803640e-06
4.886075949367087112e+00,1.095654267628543010e-01,1.949356064466778449e-04,3.737669374304086745e-05,1.116341193330150361e-05
5.137974683544302756e+00,1.200264310636977028e-01,2.187499636251422075e-04,4.194808616719836181e-05,1.252929602013619359e-05
5.389873417721517512e+00,1.308038331959680001e-01,2.444243438919357914e-04,4.687799420521887583e-05,1.400246768856749924e-05
5.641772151898734045e+00,1.418731201715585089e-01,2.720576842024646780e-04,5.218577638499422022e-05,1.558876345186810397e-05
5.893670886075947912e+00,1.532098927948560840e-01,3.017539829140991614e-04,5.789183263071873142e-05,1.729432188890545063e-05
6.145569620253162668e+00,1.647899853801767511e-01,3.336223359692302992e-04,6.401759583718469315e-05,1.912561329742157312e-05
6.397468354430378312e+00,1.765895775527172029e-01,3.677769870292779686e-04,7.058556748695821170e-05,2.108943924250539226e-05
6.649367088607592180e+00,1.885853017330457737e-01,4.043373730949761935e-04,7.761930075733669554e-05,2.319291187480310157e-05
6.901265822784809600e+00,2.007543383559013961e-01,4.434280779052057753e-04,8.514347023069746001e-05,2.544349215194419145e-05
7.153164556962023468e+00,2.130745105674530793e-01,4.851792130681209514e-04,9.318382474854391972e-05,2.784898818608549931e-05
7.405063291139240000e+00,2.255243664295554229e-01,5.297259803160869751e-04,1.017672471356201314e-04,3.041754864596679653e-05
7.656962025316453868e+00,2.380832499370321154e-01,5.772090320448342027e-04,1.109217600818723781e-04,3.315767818135029188e-05
7.908860759493668624e+00,2.507313700517805888e-01,6.277744509317617627e-04,1.206765356472905282e-04,3.607823761642148241e-05
8.160759493670884268e+00,2.634498553420439038e-01,6.815737792374987336e-04,1.310619285199710049e-04,3.918846478301318825e-05
8.412658227848099912e+00,2.762208011428053389e-01,7.387641103162589928e-04,1.421094789203491970e-04,4.249795505062436973e-05
8.664556962025313780e+00,2.890273077188407758e-01,7.995080610959659495e-04,1.538519540462690571e-04,4.601672133064393933e-05
