t,X2_infid_CD,X2_infid_N_4,X2_infid_N_6,X2_infid_N_8
2.000000000000000000e+01,1.142557773851274883e-01,2.054816528711533863e-04,3.940094675003447122e-05,1.176822239556951644e-05
6.000000000000000000e+01,1.528483516125910269e-01,2.921736108852934777e-04,5.457592620783380255e-05,1.640793411616936481e-05
1.000000000000000000e+02,2.251432261888155484e-01,4.655360595735569262e-04,8.492524491565678346e-05,2.568710289396758384e-05
1.400000000000000000e+02,3.223250506977096697e-01,7.255260122054352223e-04,1.304476366038587187e-04,3.960567260463676575e-05
1.800000000000000000e+02,4.333354087878342753e-01,1.072079229291644786e-03,1.911409581294432058e-04,5.816358114174580152e-05
2.200000000000000000e+02,5.468511705031516845e-01,1.505109888708333621e-03,2.670028838891447265e-04,8.136043747564158934e-05
2.600000000000000000e+02,6.530924881933775072e-01,2.024510632302689572e-03,3.580298224329370171e-04,1.091959782546503277e-04
3.000000000000000000e+02,7.450807172363036468e-01,2.630152697573273635e-03,4.642179905844923127e-04,1.416701064559378054e-04
3.400000000000000000e+02,8.191497225211575861e-01,3.321886830359166431e-03,5.855628114480593283e-04,1.787817859493223693e-04
3.800000000000000000e+02,8.747292133170241346e-01,4.099541910022930224e-03,7.220589562236812142e-04,2.205310472316313053e-04
4.200000000000000000e+02,9.135971005992198357e-01,4.962924671437773938e-03,8.737006550864068188e-04,2.669169997779885506e-04
